epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)8","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)10","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)11","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)12","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)14","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)15","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)17","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)18","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)19","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)20","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)21","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)22","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)24","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)25","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)26","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)27","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)28","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)29","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)31","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)32","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)33","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)34","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)35","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)36","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)38","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)39","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)40","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)41","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)42","effective_rank_site_1_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)8","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)10","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)11","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)12","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)14","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)15","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)17","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)18","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)19","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)20","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)21","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)22","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)24","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)25","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)26","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)27","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)28","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)29","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)31","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)33","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)34","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)35","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)36","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)38","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)39","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)40","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)41","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)42","effective_rank_site_agg_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)8","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)10","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)11","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)12","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)14","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)15","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)17","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)18","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)19","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)20","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)21","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)22","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)24","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)25","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)26","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)27","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)28","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)29","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)31","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)33","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)34","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)35","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)36","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)38","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)39","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)40","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)41","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)42",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,16,4,5,transformer,imdb,8,10,1.7424,4.6704,6.0,3.0192,5.9776,5.992,6.0,5.9984,6.0,3.4288,5.9952,5.9984,6.0,6.0,6.0,3.544,5.9952,5.992,6.0,6.0,6.0,3.8384,5.9872,5.9968,6.0,6.0,6.0,3.6576,6.0,6.0,6.0,6.0,6.0,4.1664,6.0,6.0,6.0,1.9024,4.7984,6.0,2.9824,5.96,5.9968,6.0,5.9952,6.0,3.3008,5.9936,5.9856,6.0,6.0,6.0,3.36,5.9936,5.9968,6.0,6.0,6.0,3.6976,6.0,6.0,6.0,6.0,6.0,3.5216,6.0,6.0,6.0,6.0,6.0,3.9904,6.0,6.0,6.0,3.6448,9.4688,12.0,6.0016,11.9376,11.9888,12.0,11.9936,12.0,6.7296,11.9888,11.984,12.0,12.0,12.0,6.904,11.9888,11.9888,12.0,12.0,12.0,7.536,11.9872,11.9968,12.0,12.0,12.0,7.1792,12.0,12.0,12.0,12.0,12.0,8.1568,12.0,12.0,12.0,0.6847591996192932,1074.7117919921875,0.6114,0.52212,0.0,0.6333539485931396,1071.5548095703125,0.6179,0.54344,0.0,0.0,1073.13330078125,0.0,0,0.0,0.0,0.0,0
1,rankdad,0.0001,16,4,5,transformer,imdb,8,10,1.8096,5.4784,6.0,4.7712,6.0,5.9984,6.0,5.9952,6.0,5.104,5.9984,5.9984,6.0,5.9856,6.0,5.3392,5.9936,6.0,6.0,5.9952,6.0,5.6416,6.0,5.9952,6.0,6.0,6.0,5.3376,6.0,5.9984,5.9984,5.9968,6.0,5.552,6.0,6.0,6.0,1.8368,5.4256,5.992,4.6992,5.9952,5.9968,6.0,6.0,6.0,5.0272,6.0,5.9888,6.0,6.0,5.9968,5.3488,6.0,5.9952,6.0,5.9952,5.9984,5.6448,6.0,6.0,6.0,6.0,6.0,5.3136,6.0,6.0,5.9984,5.9984,6.0,5.576,6.0,5.9984,6.0,3.6464,10.904,11.992,9.4704,11.9952,11.9952,12.0,11.9952,12.0,10.1312,11.9984,11.9872,12.0,11.9856,11.9968,10.688,11.9936,11.9952,12.0,11.9904,11.9984,11.2864,12.0,11.9952,12.0,12.0,12.0,10.6512,12.0,11.9984,11.9968,11.9952,12.0,11.128,12.0,11.9984,12.0,0.4499076008796692,931.4322509765625,0.6543,0.67688,0.0,0.6591153740882874,1216.4111328125,0.6533,0.55036,0.0,0.0,1073.921630859375,0.0,0,0.0,0.0,0.0,0
2,rankdad,0.0001,16,4,5,transformer,imdb,8,10,1.7984,5.8752,5.9968,5.6208,6.0,5.9968,5.9968,5.9952,5.9984,5.92,5.9936,5.9936,5.9952,5.976,5.9952,5.9328,5.9968,5.9888,6.0,5.9904,6.0,5.9584,6.0,5.9984,6.0,5.9984,5.9984,5.848,6.0,5.9952,5.9968,6.0,6.0,5.9056,5.9984,6.0,5.9968,1.7888,5.8576,5.9984,5.5648,5.9968,5.9904,5.9984,5.9824,5.9968,5.9088,5.992,5.9824,6.0,5.9808,5.9872,5.9424,5.9984,6.0,6.0,5.9952,5.9936,5.9712,5.9968,5.9984,6.0,5.9968,6.0,5.9056,6.0,5.9968,5.9968,5.9952,6.0,5.8752,6.0,6.0,6.0,3.5872,11.7328,11.9952,11.1856,11.9968,11.9872,11.9952,11.9776,11.9952,11.8288,11.9856,11.976,11.9952,11.9568,11.9824,11.8752,11.9952,11.9888,12.0,11.9856,11.9936,11.9296,11.9968,11.9968,12.0,11.9952,11.9984,11.7536,12.0,11.992,11.9936,11.9952,12.0,11.7808,11.9984,12.0,11.9968,0.3622749149799347,838.764892578125,0.7349,0.7278,0.0,0.4258156716823578,829.6944580078125,0.7364,0.7312,0.0,0.0,834.2296752929688,0.0,0,0.0,0.0,0.0,0
