epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_0_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_1_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_agg_Linear(in_features=784, out_features=512, bias=False)4",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.919060052219321,1.919060052219321,1.919060052219321,1.919060052219321,1.919060052219321,1.919060052219321,3.838120104438642,3.838120104438642,3.838120104438642,0.26479703187942505,146.2304229736328,0.8712585034013606,0.9122,0.0,0.5827169418334961,146.2304229736328,0.8256931450927029,0.9122,0.0,0.9122,0.021955430507659912,0.8914,0.021955430507659912,0.0,0.0,0.0,0
1,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.9177545691906006,1.9177545691906006,1.919060052219321,1.9177545691906006,1.919060052219321,1.919060052219321,3.835509138381201,3.8368146214099217,3.838120104438642,0.054586127400398254,89.63285827636719,0.9445153061224489,0.9383,0.0,0.29338937997817993,89.63285827636719,0.9227759823099166,0.9383,0.0,0.9383,0.02990943193435669,0.9213,0.02990943193435669,0.0,0.0,0.0,0
2,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.9177545691906006,1.919060052219321,1.919060052219321,1.919060052219321,1.919060052219321,1.919060052219321,3.8368146214099217,3.838120104438642,3.838120104438642,0.0276736319065094,76.34859466552734,0.9662840136054421,0.9448,0.0,0.009893587790429592,76.34859466552734,0.952117707093043,0.9448,0.0,0.9448,0.018141210079193115,0.9322,0.018141210079193115,0.0,0.0,0.0,0
3,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.9151436031331592,1.919060052219321,1.9177545691906006,1.9177545691906006,1.919060052219321,1.919060052219321,3.83289817232376,3.838120104438642,3.8368146214099217,0.009619385004043579,69.49469757080078,0.9769982993197279,0.9528,0.0,0.005177225451916456,69.49469757080078,0.9662782786188128,0.9528,0.0,0.9528,0.0022982358932495117,0.9365,0.0022982358932495117,0.0,0.0,0.0,0
4,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.912532637075718,1.9138381201044385,1.9151436031331592,1.91644908616188,1.9177545691906006,1.9177545691906006,3.828981723237598,3.8315926892950394,3.83289817232376,0.00033915042877197266,66.08515930175781,0.9839285714285714,0.9556,0.0,0.013454641215503216,66.08515930175781,0.9770794352781085,0.9556,0.0,0.9556,0.001208662986755371,0.9406,0.001208662986755371,0.0,0.0,0.0,0
5,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.9046997389033942,1.9099216710182767,1.9099216710182767,1.9177545691906006,1.91644908616188,1.9177545691906006,3.822454308093995,3.8263707571801566,3.827676240208877,0.0005791783332824707,65.73139190673828,0.9877976190476191,0.9566,0.0,0.0053383284248411655,65.73139190673828,0.9815870045926178,0.9566,0.0,0.9566,0.0012947320938110352,0.9389,0.0012947320938110352,0.0,0.0,0.0,0
6,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.891644908616188,1.8968668407310705,1.8955613577023498,1.912532637075718,1.9138381201044385,1.9151436031331592,3.804177545691906,3.8107049608355092,3.8107049608355092,0.0011450648307800293,65.91952514648438,0.9890731292517007,0.9594,0.0,0.005966799799352884,65.91952514648438,0.9838407892498724,0.9594,0.0,0.9594,0.002760171890258789,0.9414,0.002760171890258789,0.0,0.0,0.0,0
7,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.8798955613577024,1.8929503916449086,1.8968668407310705,1.9060052219321149,1.9138381201044385,1.9151436031331592,3.7859007832898173,3.8067885117493474,3.8120104438642297,0.029977858066558838,60.0819206237793,0.9895408163265306,0.9622,0.0,0.016206366941332817,60.0819206237793,0.9863922435788399,0.9622,0.0,0.9622,1.5735626220703125e-05,0.9422,1.5735626220703125e-05,0.0,0.0,0.0,0
8,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.8759791122715406,1.8903394255874673,1.8838120104438643,1.8981723237597912,1.9033942558746737,1.9046997389033942,3.7741514360313317,3.793733681462141,3.7885117493472587,0.0006440281867980957,57.52422332763672,0.9924319727891157,0.9656,0.0,0.05710485950112343,57.52422332763672,0.9894114645347848,0.9656,0.0,0.9656,0.0002313852310180664,0.9308,0.0002313852310180664,0.0,0.0,0.0,0
9,rankdad,0.0001,32,4,5,simpleff,mnist,4,10,1.8577023498694516,1.860313315926893,1.860313315926893,1.885117493472585,1.8994778067885119,1.8929503916449086,3.7428198433420365,3.759791122715405,3.7532637075718016,0.00029164552688598633,56.477134704589844,0.9925595238095238,0.9665,0.0,0.007448332849889994,56.477134704589844,0.9899642796393945,0.9665,0.0,0.9665,0.00013959407806396484,0.9404,0.00013959407806396484,0.0,0.0,0.0,0
