epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=24, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=24, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=24, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.5,22.5,25.0,24.5,16.5,5.0,24.5,25.0,24.5,24.5,10.5,47.0,50.0,49.0,41.0,1.685868263244629,10.150702476501465,0.359375,0.2833333333333333,0.0,1.8889508247375488,10.150702476501465,0.078125,0.2833333333333333,0.0,0.2833333333333333,1.6523643732070923,0.2833333333333333,1.6523643732070923,0.0,0.0,0.0,0
1,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,4.5,23.0,26.0,21.5,16.5,5.0,29.5,23.5,26.5,26.5,9.5,52.5,49.5,48.0,43.0,1.5810885429382324,9.474700927734375,0.421875,0.35,0.0,1.712433099746704,9.474700927734375,0.28125,0.35,0.0,0.35,1.5632977485656738,0.35,1.5632977485656738,0.0,0.0,0.0,0
2,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,4.5,21.5,26.5,23.5,18.5,5.0,29.5,29.5,27.5,21.5,9.5,51.0,56.0,51.0,40.0,1.4960869550704956,8.907920837402344,0.484375,0.5611111111111111,0.0,1.5658987760543823,8.907920837402344,0.578125,0.5611111111111111,0.0,0.5611111111111111,1.4829949140548706,0.5611111111111111,1.4829949140548706,0.0,0.0,0.0,0
3,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,4.5,22.5,27.0,23.0,19.5,5.0,30.0,27.5,27.0,23.5,9.5,52.5,54.5,50.0,43.0,1.429756999015808,8.383054733276367,0.515625,0.6111111111111112,0.0,1.4305808544158936,8.383054733276367,0.765625,0.6111111111111112,0.0,0.6111111111111112,1.4069792032241821,0.6111111111111112,1.4069792032241821,0.0,0.0,0.0,0
4,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,21.0,21.5,23.0,19.0,5.0,23.5,30.0,28.5,25.0,10.0,44.5,51.5,51.5,44.0,1.375570297241211,7.8589911460876465,0.53125,0.6611111111111111,0.0,1.2939425706863403,7.8589911460876465,0.859375,0.6611111111111111,0.0,0.6611111111111111,1.3269020318984985,0.6611111111111111,1.3269020318984985,0.0,0.0,0.0,0
5,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.5,21.5,25.5,25.5,19.0,5.0,23.5,19.5,19.5,24.5,10.5,45.0,45.0,45.0,43.5,1.328033208847046,7.328577518463135,0.59375,0.6722222222222223,0.0,1.1520237922668457,7.328577518463135,0.890625,0.6722222222222223,0.0,0.6722222222222223,1.2390981912612915,0.6722222222222223,1.2390981912612915,0.0,0.0,0.0,0
6,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,21.5,22.0,26.0,16.5,5.0,19.0,15.5,26.0,22.0,10.0,40.5,37.5,52.0,38.5,1.2847726345062256,6.813778877258301,0.65625,0.7,0.0,1.011768102645874,6.813778877258301,0.921875,0.7,0.0,0.7,1.1523826122283936,0.7,1.1523826122283936,0.0,0.0,0.0,0
7,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,22.5,25.5,23.0,15.5,5.0,11.5,19.5,21.0,23.0,10.0,34.0,45.0,44.0,38.5,1.2469031810760498,6.3328142166137695,0.65625,0.7277777777777777,0.0,0.8791754841804504,6.3328142166137695,0.921875,0.7277777777777777,0.0,0.7277777777777777,1.0684988498687744,0.7277777777777777,1.0684988498687744,0.0,0.0,0.0,0
8,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,22.0,23.0,24.5,17.0,3.5,16.0,18.0,27.5,19.5,8.5,38.0,41.0,52.0,36.5,1.2108957767486572,5.89517879486084,0.734375,0.75,0.0,0.7614526748657227,5.89517879486084,0.953125,0.75,0.0,0.75,0.9901576042175293,0.75,0.9901576042175293,0.0,0.0,0.0,0
9,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,7.0,21.5,21.5,18.5,16.5,5.0,17.0,14.0,26.0,21.0,12.0,38.5,35.5,44.5,37.5,1.1743627786636353,5.501072406768799,0.6875,0.7388888888888889,0.0,0.6618371605873108,5.501072406768799,0.96875,0.7388888888888889,0.0,0.7388888888888889,0.9181439280509949,0.7388888888888889,0.9181439280509949,0.0,0.0,0.0,0
10,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,20.0,27.0,20.5,18.5,4.0,20.0,21.5,23.5,19.5,9.0,40.0,48.5,44.0,38.0,1.1322630643844604,5.148434638977051,0.65625,0.7333333333333333,0.0,0.5807967185974121,5.148434638977051,0.96875,0.7333333333333333,0.0,0.7333333333333333,0.8544191122055054,0.7333333333333333,0.8544191122055054,0.0,0.0,0.0,0
11,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.5,20.0,26.0,21.0,15.0,3.5,20.0,24.0,27.0,22.0,9.0,40.0,50.0,48.0,37.0,1.0861992835998535,4.836164951324463,0.671875,0.7277777777777777,0.0,0.5150974988937378,4.836164951324463,0.96875,0.7277777777777777,0.0,0.7277777777777777,0.7991018295288086,0.7277777777777777,0.7991018295288086,0.0,0.0,0.0,0
12,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,21.0,23.0,21.0,17.5,4.5,20.5,27.0,25.0,20.0,9.5,41.5,50.0,46.0,37.5,1.0384217500686646,4.559536933898926,0.6875,0.7444444444444445,0.0,0.46121707558631897,4.559536933898926,0.96875,0.7444444444444445,0.0,0.7444444444444445,0.7512152194976807,0.7444444444444445,0.7512152194976807,0.0,0.0,0.0,0
13,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,23.5,28.0,24.0,17.5,4.0,23.0,28.5,26.0,9.5,9.0,46.5,56.5,50.0,27.0,0.9936926364898682,4.3133392333984375,0.6875,0.7333333333333333,0.0,0.4138314723968506,4.3133392333984375,0.96875,0.7333333333333333,0.0,0.7333333333333333,0.7087748050689697,0.7333333333333333,0.7087748050689697,0.0,0.0,0.0,0
14,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,25.0,28.0,19.0,13.0,5.0,23.0,23.0,26.5,18.0,10.0,48.0,51.0,45.5,31.0,0.9564692974090576,4.09385871887207,0.71875,0.7444444444444445,0.0,0.3699451684951782,4.09385871887207,0.96875,0.7444444444444445,0.0,0.7444444444444445,0.6695733666419983,0.7444444444444445,0.6695733666419983,0.0,0.0,0.0,0
15,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.5,20.0,27.0,23.5,11.5,6.0,19.5,26.0,25.0,19.0,11.5,39.5,53.0,48.5,30.5,0.9275742173194885,3.896556854248047,0.703125,0.7555555555555555,0.0,0.3286817669868469,3.896556854248047,0.96875,0.7555555555555555,0.0,0.7555555555555555,0.6334739923477173,0.7555555555555555,0.6334739923477173,0.0,0.0,0.0,0
16,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,21.0,25.5,15.0,13.5,4.5,21.5,26.0,27.5,15.0,9.5,42.5,51.5,42.5,28.5,0.903495728969574,3.7206735610961914,0.703125,0.75,0.0,0.29016461968421936,3.7206735610961914,0.96875,0.75,0.0,0.75,0.5997090339660645,0.75,0.5997090339660645,0.0,0.0,0.0,0
17,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.5,22.5,27.5,16.0,11.5,4.5,19.0,27.0,21.5,19.0,10.0,41.5,54.5,37.5,30.5,0.8810737133026123,3.5646002292633057,0.671875,0.75,0.0,0.25512969493865967,3.5646002292633057,0.96875,0.75,0.0,0.75,0.5689484477043152,0.75,0.5689484477043152,0.0,0.0,0.0,0
18,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,22.5,28.0,23.5,11.0,5.0,20.0,19.5,25.5,18.5,10.0,42.5,47.5,49.0,29.5,0.8584272861480713,3.4256935119628906,0.671875,0.7555555555555555,0.0,0.2248847484588623,3.4256935119628906,0.96875,0.7555555555555555,0.0,0.7555555555555555,0.5419480204582214,0.7555555555555555,0.5419480204582214,0.0,0.0,0.0,0
19,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,18.5,25.5,24.5,10.5,6.5,21.0,18.5,22.5,18.5,11.5,39.5,44.0,47.0,29.0,0.835354208946228,3.301379680633545,0.703125,0.7555555555555555,0.0,0.19918209314346313,3.301379680633545,0.96875,0.7555555555555555,0.0,0.7555555555555555,0.5173873901367188,0.7555555555555555,0.5173873901367188,0.0,0.0,0.0,0
20,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,22.5,23.5,26.0,11.0,5.5,21.0,22.5,25.5,18.0,10.5,43.5,46.0,51.5,29.0,0.8126649260520935,3.1902520656585693,0.71875,0.7611111111111111,0.0,0.17728714644908905,3.1902520656585693,0.984375,0.7611111111111111,0.0,0.7611111111111111,0.49530285596847534,0.7611111111111111,0.49530285596847534,0.0,0.0,0.0,0
21,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,16.5,27.5,24.0,14.0,5.0,19.0,21.0,25.5,19.0,10.0,35.5,48.5,49.5,33.0,0.7928752303123474,3.09395694732666,0.703125,0.7666666666666667,0.0,0.15847258269786835,3.09395694732666,0.984375,0.7666666666666667,0.0,0.7666666666666667,0.4761013984680176,0.7666666666666667,0.4761013984680176,0.0,0.0,0.0,0
22,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,20.5,27.5,25.0,12.0,6.5,17.5,20.0,24.5,17.5,11.5,38.0,47.5,49.5,29.5,0.7755807638168335,3.00839900970459,0.71875,0.7666666666666667,0.0,0.14177100360393524,3.00839900970459,1.0,0.7666666666666667,0.0,0.7666666666666667,0.45880818367004395,0.7666666666666667,0.45880818367004395,0.0,0.0,0.0,0
23,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,22.0,28.0,22.5,8.5,6.5,16.0,18.0,24.5,18.5,11.5,38.0,46.0,47.0,27.0,0.7589320540428162,2.930302619934082,0.71875,0.7666666666666667,0.0,0.1269773542881012,2.930302619934082,1.0,0.7666666666666667,0.0,0.7666666666666667,0.44340068101882935,0.7666666666666667,0.44340068101882935,0.0,0.0,0.0,0
24,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,19.5,28.0,22.5,8.0,5.0,14.5,15.0,21.5,17.5,10.0,34.0,43.0,44.0,25.5,0.743152379989624,2.8588688373565674,0.71875,0.7666666666666667,0.0,0.1137121170759201,2.8588688373565674,1.0,0.7666666666666667,0.0,0.7666666666666667,0.42941465973854065,0.7666666666666667,0.42941465973854065,0.0,0.0,0.0,0
25,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,17.5,22.0,19.0,11.0,4.5,15.5,18.0,22.0,17.0,9.5,33.0,40.0,41.0,28.0,0.7277379035949707,2.7933545112609863,0.75,0.7888888888888889,0.0,0.10194101929664612,2.7933545112609863,1.0,0.7888888888888889,0.0,0.7888888888888889,0.4162836968898773,0.7888888888888889,0.4162836968898773,0.0,0.0,0.0,0
26,rankdad,0.0001,32,2,5,gru,tapnet-NATOPS,32,10,5.0,22.0,25.0,18.5,8.5,7.0,16.0,15.5,26.0,21.0,12.0,38.0,40.5,44.5,29.5,0.7131609320640564,2.733945608139038,0.78125,0.7944444444444444,0.0,0.09170657396316528,2.733945608139038,1.0,0.7944444444444444,0.0,0.7944444444444444,0.4042072296142578,0.7944444444444444,0.4042072296142578,0.0,0.0,0.0,0
