epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=512, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=2, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=512, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=2, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=512, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=2, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.618556701030927,5.680412371134021,5.690721649484536,5.690721649484536,1.907216494845361,5.577319587628866,5.690721649484536,5.680412371134021,5.690721649484536,1.8350515463917525,11.195876288659793,11.371134020618557,11.371134020618557,11.381443298969073,3.7422680412371134,0.7136342525482178,100.37325286865234,0.6973505434782609,0.773013150371641,0.0,0.6295520067214966,100.37325286865234,0.665066849502914,0.773013150371641,0.0,0.773013150371641,0.9766969680786133,0.773013150371641,0.9766969680786133,0.0,0.0,0.0,0
1,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.680412371134021,5.690721649484536,5.690721649484536,5.690721649484536,1.9381443298969072,5.680412371134021,5.680412371134021,5.680412371134021,5.680412371134021,1.9381443298969072,11.360824742268042,11.371134020618557,11.371134020618557,11.371134020618557,3.8762886597938144,0.3688600957393646,63.37242126464844,0.8576766304347826,0.8238993710691824,0.0,0.2835640013217926,63.37242126464844,0.8165923894412067,0.8238993710691824,0.0,0.8238993710691824,0.5035563707351685,0.8238993710691824,0.5035563707351685,0.0,0.0,0.0,0
2,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.690721649484536,5.690721649484536,5.690721649484536,5.690721649484536,1.9690721649484537,5.680412371134021,5.680412371134021,5.690721649484536,5.680412371134021,1.9896907216494846,11.371134020618557,11.371134020618557,11.381443298969073,11.371134020618557,3.9587628865979383,0.2812623977661133,49.11274719238281,0.8984375,0.8664951400800457,0.0,0.17745772004127502,49.11274719238281,0.8779568049365787,0.8664951400800457,0.0,0.8664951400800457,0.38161709904670715,0.8664951400800457,0.38161709904670715,0.0,0.0,0.0,0
3,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.680412371134021,5.690721649484536,5.690721649484536,5.690721649484536,1.824742268041237,5.680412371134021,5.680412371134021,5.690721649484536,5.690721649484536,1.9278350515463918,11.360824742268042,11.371134020618557,11.381443298969073,11.381443298969073,3.752577319587629,0.2202882319688797,41.30786895751953,0.921875,0.8910806174957119,0.0,0.13463839888572693,41.30786895751953,0.9101816935207405,0.8910806174957119,0.0,0.8910806174957119,0.3366055190563202,0.8910806174957119,0.3366055190563202,0.0,0.0,0.0,0
4,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.670103092783505,5.65979381443299,5.690721649484536,5.690721649484536,1.9278350515463918,5.680412371134021,5.680412371134021,5.680412371134021,5.690721649484536,1.8865979381443299,11.350515463917526,11.34020618556701,11.371134020618557,11.381443298969073,3.814432989690722,0.1809055358171463,36.56578063964844,0.9381793478260869,0.9048027444253859,0.0,0.11294069141149521,36.56578063964844,0.9276654096674666,0.9048027444253859,0.0,0.9048027444253859,0.3139403462409973,0.9048027444253859,0.3139403462409973,0.0,0.0,0.0,0
5,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.670103092783505,5.690721649484536,5.690721649484536,5.690721649484536,1.8865979381443299,5.680412371134021,5.680412371134021,5.680412371134021,5.690721649484536,1.9381443298969072,11.350515463917526,11.371134020618557,11.371134020618557,11.381443298969073,3.8247422680412373,0.1560928374528885,33.725830078125,0.9480298913043478,0.9102344196683819,0.0,0.09662675857543945,33.725830078125,0.9403496743229345,0.9102344196683819,0.0,0.9102344196683819,0.29690349102020264,0.9102344196683819,0.29690349102020264,0.0,0.0,0.0,0
6,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.65979381443299,5.690721649484536,5.690721649484536,5.690721649484536,1.9175257731958764,5.680412371134021,5.670103092783505,5.670103092783505,5.690721649484536,1.9278350515463918,11.34020618556701,11.360824742268042,11.360824742268042,11.381443298969073,3.845360824742268,0.1377287656068802,31.927501678466797,0.9548233695652174,0.9142367066895368,0.0,0.08528213202953339,31.927501678466797,0.9492629413781282,0.9142367066895368,0.0,0.9142367066895368,0.2831090986728668,0.9142367066895368,0.2831090986728668,0.0,0.0,0.0,0
7,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.670103092783505,5.680412371134021,5.670103092783505,5.690721649484536,1.865979381443299,5.670103092783505,5.65979381443299,5.670103092783505,5.690721649484536,1.9484536082474226,11.34020618556701,11.34020618556701,11.34020618556701,11.381443298969073,3.814432989690722,0.12315413355827332,30.704931259155273,0.9588994565217391,0.9165237278444825,0.0,0.07714176177978516,30.704931259155273,0.9578333904696607,0.9165237278444825,0.0,0.9165237278444825,0.26753124594688416,0.9165237278444825,0.26753124594688416,0.0,0.0,0.0,0
8,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.670103092783505,5.680412371134021,5.690721649484536,5.690721649484536,1.8556701030927836,5.670103092783505,5.690721649484536,5.680412371134021,5.690721649484536,2.0309278350515463,11.34020618556701,11.371134020618557,11.371134020618557,11.381443298969073,3.88659793814433,0.11273510754108429,29.8643741607666,0.9612771739130435,0.9179531160663236,0.0,0.07050857692956924,29.8643741607666,0.9612615701062736,0.9179531160663236,0.0,0.9179531160663236,0.2552012503147125,0.9179531160663236,0.2552012503147125,0.0,0.0,0.0,0
9,rankdad,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,5.65979381443299,5.690721649484536,5.670103092783505,5.690721649484536,1.9484536082474226,5.670103092783505,5.65979381443299,5.670103092783505,5.690721649484536,1.9690721649484537,11.329896907216495,11.350515463917526,11.34020618556701,11.381443298969073,3.917525773195876,0.1031995564699173,29.2374267578125,0.9643342391304348,0.9216695254431103,0.0,0.06282959133386612,29.2374267578125,0.9657182036338704,0.9216695254431103,0.0,0.9216695254431103,0.24594712257385254,0.9216695254431103,0.24594712257385254,0.0,0.0,0.0,0
