epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.3093527555465698,57.176456451416016,0.876,0.9347,0.0,0.9347,0.00014293193817138672,0.9201,0.00014293193817138672,0.0,0.0,0.0,0
1,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.29745352268218994,40.567604064941406,0.9549375,0.9499,0.0,0.9499,6.788969039916992e-05,0.9438,6.788969039916992e-05,0.0,0.0,0.0,0
2,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.20775379240512848,40.05186080932617,0.9735625,0.9522,0.0,0.9522,1.7881393432617188e-05,0.9409,1.7881393432617188e-05,0.0,0.0,0.0,0
3,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.022488340735435486,34.172122955322266,0.9829375,0.9593,0.0,0.9593,1.1444091796875e-05,0.9467,1.1444091796875e-05,0.0,0.0,0.0,0
4,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.08679696917533875,34.003089904785156,0.985375,0.9602,0.0,0.9602,2.9802322387695312e-06,0.9521,2.9802322387695312e-06,0.0,0.0,0.0,0
5,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.03489118814468384,39.75727081298828,0.9874791666666667,0.9582,0.0,0.9582,0.011309444904327393,0.9428,0.011309444904327393,0.0,0.0,0.0,0
6,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0008201450109481812,33.18661117553711,0.9871041666666667,0.9632,0.0,0.9632,0.00018280744552612305,0.9469,0.00018280744552612305,0.0,0.0,0.0,0
7,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.04313184320926666,39.50819778442383,0.9890833333333333,0.958,0.0,0.958,3.5762786865234375e-07,0.9208,3.5762786865234375e-07,0.0,0.0,0.0,0
8,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.02316392958164215,34.30441665649414,0.9902083333333334,0.9641,0.0,0.9641,1.6689300537109375e-06,0.9346,1.6689300537109375e-06,0.0,0.0,0.0,0
9,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0007847398519515991,31.782928466796875,0.9922291666666667,0.9675,0.0,0.9675,2.384185791015625e-07,0.9486,2.384185791015625e-07,0.0,0.0,0.0,0
10,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.00789402425289154,35.031124114990234,0.99175,0.9664,0.0,0.9664,1.1920928955078125e-07,0.9352,1.1920928955078125e-07,0.0,0.0,0.0,0
11,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.04393354058265686,33.45712661743164,0.9923541666666666,0.968,0.0,0.968,4.649162292480469e-06,0.9276,4.649162292480469e-06,0.0,0.0,0.0,0
12,pooled,0.0001,64,4,5,simpleff,mnist,8,10,2.09808349609375e-05,28.950990676879883,0.9937916666666666,0.9728,0.0,0.9728,2.980232238769531e-07,0.9431,2.980232238769531e-07,0.0,0.0,0.0,0
13,pooled,0.0001,64,4,5,simpleff,mnist,8,10,8.344650268554688e-05,40.27288818359375,0.9939791666666666,0.9645,0.0,0.9645,0.00017309188842773438,0.8977,0.00017309188842773438,0.0,0.0,0.0,0
14,pooled,0.0001,64,4,5,simpleff,mnist,8,10,9.253621101379395e-05,34.890830993652344,0.9930625,0.9687,0.0,0.9687,0.0,0.9211,0.0,0.0,0.0,0.0,0
15,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.000911325216293335,36.207420349121094,0.9947291666666667,0.9711,0.0,0.9711,0.0,0.9174,0.0,0.0,0.0,0.0,0
16,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.026072561740875244,32.448360443115234,0.9961666666666666,0.97,0.0,0.97,0.0,0.9247,0.0,0.0,0.0,0.0,0
17,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.004408031702041626,37.03544235229492,0.9954375,0.9678,0.0,0.9678,2.568960189819336e-05,0.8726,2.568960189819336e-05,0.0,0.0,0.0,0
18,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0001989305019378662,31.586387634277344,0.9947916666666666,0.9721,0.0,0.9721,6.9141387939453125e-06,0.9121,6.9141387939453125e-06,0.0,0.0,0.0,0
19,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.004275768995285034,30.350004196166992,0.9960416666666667,0.9727,0.0,0.9727,0.007403731346130371,0.8925,0.007403731346130371,0.0,0.0,0.0,0
20,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.006595730781555176,30.83839225769043,0.9957083333333333,0.9726,0.0,0.9726,0.0,0.9038,0.0,0.0,0.0,0.0,0
21,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.00017386674880981445,31.7493839263916,0.9965833333333334,0.9742,0.0,0.9742,2.6226043701171875e-06,0.8978,2.6226043701171875e-06,0.0,0.0,0.0,0
22,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0005846917629241943,34.078392028808594,0.9960833333333333,0.9728,0.0,0.9728,2.562999725341797e-06,0.8622,2.562999725341797e-06,0.0,0.0,0.0,0
23,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.07964158058166504,35.58995056152344,0.9965416666666667,0.9711,0.0,0.9711,3.933906555175781e-06,0.9018,3.933906555175781e-06,0.0,0.0,0.0,0
24,pooled,0.0001,64,4,5,simpleff,mnist,8,10,2.9802322387695312e-08,30.312707901000977,0.9977916666666666,0.9762,0.0,0.9762,0.0,0.8798,0.0,0.0,0.0,0.0,0
25,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0002998858690261841,40.0457649230957,0.9972291666666667,0.9701,0.0,0.9701,0.0,0.8457,0.0,0.0,0.0,0.0,0
26,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0005371570587158203,37.81605529785156,0.9945625,0.9724,0.0,0.9724,2.384185791015625e-07,0.8698,2.384185791015625e-07,0.0,0.0,0.0,0
27,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.00034102797508239746,32.46503448486328,0.996875,0.9762,0.0,0.9762,0.0,0.8772,0.0,0.0,0.0,0.0,0
28,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.04697185754776001,36.354576110839844,0.9972291666666667,0.9739,0.0,0.9739,0.0,0.845,0.0,0.0,0.0,0.0,0
29,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.012038707733154297,36.18309020996094,0.9973541666666667,0.9718,0.0,0.9718,0.0001976490020751953,0.8014,0.0001976490020751953,0.0,0.0,0.0,0
30,pooled,0.0001,64,4,5,simpleff,mnist,8,10,1.6391277313232422e-06,39.041412353515625,0.9965,0.9748,0.0,0.9748,0.0,0.8428,0.0,0.0,0.0,0.0,0
31,pooled,0.0001,64,4,5,simpleff,mnist,8,10,7.152557373046875e-06,34.89732360839844,0.996875,0.9751,0.0,0.9751,2.384185791015625e-07,0.8214,2.384185791015625e-07,0.0,0.0,0.0,0
32,pooled,0.0001,64,4,5,simpleff,mnist,8,10,5.40316104888916e-05,37.77626419067383,0.9974583333333333,0.975,0.0,0.975,0.0,0.8658,0.0,0.0,0.0,0.0,0
33,pooled,0.0001,64,4,5,simpleff,mnist,8,10,4.437565803527832e-05,37.52459716796875,0.9971875,0.9743,0.0,0.9743,0.0,0.8691,0.0,0.0,0.0,0.0,0
34,pooled,0.0001,64,4,5,simpleff,mnist,8,10,2.9802322387695312e-08,37.546539306640625,0.9973958333333334,0.9741,0.0,0.9741,0.0,0.8595,0.0,0.0,0.0,0.0,0
35,pooled,0.0001,64,4,5,simpleff,mnist,8,10,1.7881393432617188e-07,38.41997146606445,0.9977708333333334,0.9742,0.0,0.9742,0.0,0.8151,0.0,0.0,0.0,0.0,0
36,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0,35.448524475097656,0.9985833333333334,0.9742,0.0,0.9742,0.0,0.839,0.0,0.0,0.0,0.0,0
37,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0021105706691741943,48.61674118041992,0.9967708333333334,0.9701,0.0,0.9701,0.0,0.7819,0.0,0.0,0.0,0.0,0
38,pooled,0.0001,64,4,5,simpleff,mnist,8,10,5.960464477539063e-08,39.6202278137207,0.9980208333333334,0.9758,0.0,0.9758,0.0,0.868,0.0,0.0,0.0,0.0,0
39,pooled,0.0001,64,4,5,simpleff,mnist,8,10,7.152557373046875e-07,38.33631896972656,0.99725,0.9744,0.0,0.9744,0.0,0.8165,0.0,0.0,0.0,0.0,0
40,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.004901021718978882,39.92465591430664,0.99775,0.9765,0.0,0.9765,0.0,0.8229,0.0,0.0,0.0,0.0,0
41,pooled,0.0001,64,4,5,simpleff,mnist,8,10,4.500150680541992e-06,42.09136962890625,0.9978541666666667,0.9743,0.0,0.9743,0.0,0.7872,0.0,0.0,0.0,0.0,0
42,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.012409061193466187,46.121543884277344,0.9981458333333333,0.9732,0.0,0.9732,0.0,0.8109,0.0,0.0,0.0,0.0,0
43,pooled,0.0001,64,4,5,simpleff,mnist,8,10,5.429983139038086e-05,39.202606201171875,0.9976458333333333,0.9759,0.0,0.9759,0.0,0.8329,0.0,0.0,0.0,0.0,0
44,pooled,0.0001,64,4,5,simpleff,mnist,8,10,6.4373016357421875e-06,39.18513870239258,0.997375,0.9769,0.0,0.9769,0.0,0.8089,0.0,0.0,0.0,0.0,0
45,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.0,41.845638275146484,0.9983125,0.9759,0.0,0.9759,0.0,0.7938,0.0,0.0,0.0,0.0,0
46,pooled,0.0001,64,4,5,simpleff,mnist,8,10,3.5762786865234375e-07,39.363182067871094,0.9980416666666667,0.9768,0.0,0.9768,0.0,0.8423,0.0,0.0,0.0,0.0,0
47,pooled,0.0001,64,4,5,simpleff,mnist,8,10,0.14543354511260986,45.3109245300293,0.9974791666666667,0.9722,0.0,0.9722,0.0,0.8044,0.0,0.0,0.0,0.0,0
48,pooled,0.0001,64,4,5,simpleff,mnist,8,10,4.410743713378906e-06,35.13513946533203,0.9982708333333333,0.9775,0.0,0.9775,0.0,0.8193,0.0,0.0,0.0,0.0,0
49,pooled,0.0001,64,4,5,simpleff,mnist,8,10,1.9669532775878906e-05,38.81135177612305,0.9981666666666666,0.9759,0.0,0.9759,0.0,0.781,0.0,0.0,0.0,0.0,0
