epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_0_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_1_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_agg_Linear(in_features=784, out_features=512, bias=False)4",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,3.827900912646675,3.827900912646675,3.827900912646675,0.31022152304649353,155.6351318359375,0.8729138283378747,0.9011,0.0,0.27932679653167725,155.6351318359375,0.8231060767363625,0.9011,0.0,0.9011,0.604106605052948,0.8948,0.604106605052948,0.0,0.0,0.0,0
1,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.9126466753585398,1.9126466753585398,1.9126466753585398,1.9139504563233376,1.9139504563233376,1.9139504563233376,3.8265971316818774,3.8265971316818774,3.8265971316818774,0.06274378299713135,103.69792175292969,0.9434604904632152,0.9299,0.0,0.06339497119188309,103.69792175292969,0.9209641016905846,0.9299,0.0,0.9299,0.5419073700904846,0.9236,0.5419073700904846,0.0,0.0,0.0,0
2,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.9113428943937418,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,3.8252933507170797,3.827900912646675,3.827900912646675,0.009784147143363953,79.50550842285156,0.96483310626703,0.9431,0.0,0.014479424804449081,79.50550842285156,0.9506877315504834,0.9431,0.0,0.9431,0.45257341861724854,0.9384,0.45257341861724854,0.0,0.0,0.0,0
3,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.908735332464146,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,1.9139504563233376,3.8226857887874837,3.827900912646675,3.827900912646675,0.06032530963420868,75.92735290527344,0.9768392370572208,0.9488,0.0,0.0009442788432352245,75.92735290527344,0.9676787463271302,0.9488,0.0,0.9488,0.17308872938156128,0.9425,0.17308872938156128,0.0,0.0,0.0,0
4,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.907431551499348,1.907431551499348,1.9100391134289438,1.9139504563233376,1.9139504563233376,1.9139504563233376,3.821382007822686,3.821382007822686,3.8239895697522814,0.0071159303188323975,63.45243453979492,0.9819482288828338,0.9582,0.0,0.0006148726679384708,63.45243453979492,0.9736405058978835,0.9582,0.0,0.9582,0.09664475917816162,0.9516,0.09664475917816162,0.0,0.0,0.0,0
5,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.8983050847457628,1.9048239895697523,1.9061277705345503,1.9139504563233376,1.9139504563233376,1.9139504563233376,3.8122555410691006,3.81877444589309,3.8200782268578877,0.0059986114501953125,69.4232406616211,0.987525544959128,0.9564,0.0,0.001027672435157001,69.4232406616211,0.9824128092662777,0.9564,0.0,0.9564,0.04803204536437988,0.9497,0.04803204536437988,0.0,0.0,0.0,0
6,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.8891786179921772,1.894393741851369,1.893089960886571,1.9126466753585398,1.9126466753585398,1.9113428943937418,3.801825293350717,3.8070404172099086,3.804432855280313,0.0026457607746124268,63.28193283081055,0.9885899182561307,0.9616,0.0,0.0025128258857876062,63.28193283081055,0.9836051611804284,0.9616,0.0,0.9616,9.489059448242188e-05,0.9476,9.489059448242188e-05,0.0,0.0,0.0,0
7,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.8722294654498044,1.88135593220339,1.8774445893089962,1.9035202086049543,1.9061277705345503,1.907431551499348,3.775749674054759,3.78748370273794,3.7848761408083442,0.0011150240898132324,58.3431396484375,0.9911018392370572,0.9667,0.0,0.00015633193834219128,58.3431396484375,0.9858621130179278,0.9667,0.0,0.9667,8.654594421386719e-05,0.9466,8.654594421386719e-05,0.0,0.0,0.0,0
8,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.8657105606258149,1.8865710560625815,1.8917861799217732,1.8983050847457628,1.907431551499348,1.908735332464146,3.7640156453715776,3.7940026075619295,3.8005215123859193,0.0006794631481170654,53.53847122192383,0.9919959128065395,0.9691,0.0,0.0008776982431299984,53.53847122192383,0.9890133287910403,0.9691,0.0,0.9691,0.0330047607421875,0.9381,0.0330047607421875,0.0,0.0,0.0,0
9,rankdad,0.0001,32,3,5,simpleff,mnist,4,10,1.8539765319426336,1.8774445893089962,1.878748370273794,1.8904823989569752,1.9022164276401565,1.9009126466753585,3.744458930899609,3.7796610169491527,3.7796610169491527,1.9609928131103516e-05,59.47998046875,0.9904206403269755,0.9684,0.0,0.0004947803681716323,59.47998046875,0.9879487288676915,0.9684,0.0,0.9684,4.947185516357422e-05,0.9391,4.947185516357422e-05,0.0,0.0,0.0,0
