epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=24, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=24, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=24, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.704540491104126,10.13856029510498,0.296875,0.3055555555555556,0.0,1.875388741493225,10.13856029510498,0.078125,0.3055555555555556,0.0,0.3055555555555556,1.647557020187378,0.3055555555555556,1.647557020187378,0.0,0.0,0.0,0
1,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.562434196472168,9.464853286743164,0.453125,0.4666666666666667,0.0,1.6998302936553955,9.464853286743164,0.296875,0.4666666666666667,0.0,0.4666666666666667,1.555708408355713,0.4666666666666667,1.555708408355713,0.0,0.0,0.0,0
2,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,9.0,12.0,12.0,12.0,12.0,1.4586668014526367,8.898104667663574,0.71875,0.6055555555555555,0.0,1.5520037412643433,8.898104667663574,0.609375,0.6055555555555555,0.0,0.6055555555555555,1.476233720779419,0.6055555555555555,1.476233720779419,0.0,0.0,0.0,0
3,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,1.3762526512145996,8.361838340759277,0.6875,0.6611111111111111,0.0,1.4115928411483765,8.361838340759277,0.765625,0.6611111111111111,0.0,0.6611111111111111,1.4003819227218628,0.6611111111111111,1.4003819227218628,0.0,0.0,0.0,0
4,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,1.3081258535385132,7.816379547119141,0.671875,0.7055555555555556,0.0,1.2701376676559448,7.816379547119141,0.875,0.7055555555555556,0.0,0.7055555555555556,1.3196321725845337,0.7055555555555556,1.3196321725845337,0.0,0.0,0.0,0
5,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,1.2492011785507202,7.267373085021973,0.703125,0.7277777777777777,0.0,1.1254826784133911,7.267373085021973,0.921875,0.7277777777777777,0.0,0.7277777777777777,1.2333438396453857,0.7277777777777777,1.2333438396453857,0.0,0.0,0.0,0
6,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.1983606815338135,6.740190505981445,0.71875,0.7388888888888889,0.0,0.9835174679756165,6.740190505981445,0.9375,0.7388888888888889,0.0,0.7388888888888889,1.14718496799469,0.7388888888888889,1.14718496799469,0.0,0.0,0.0,0
7,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,1.1509426832199097,6.254939556121826,0.71875,0.7611111111111111,0.0,0.8514297604560852,6.254939556121826,0.953125,0.7611111111111111,0.0,0.7611111111111111,1.0651283264160156,0.7611111111111111,1.0651283264160156,0.0,0.0,0.0,0
8,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,5.5,6.0,6.0,6.0,10.0,11.5,12.0,12.0,12.0,1.1035914421081543,5.817131519317627,0.703125,0.7722222222222223,0.0,0.7358212471008301,5.817131519317627,0.96875,0.7722222222222223,0.0,0.7722222222222223,0.988886833190918,0.7722222222222223,0.988886833190918,0.0,0.0,0.0,0
9,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.0512250661849976,5.423186302185059,0.703125,0.7611111111111111,0.0,0.6379695534706116,5.423186302185059,0.96875,0.7611111111111111,0.0,0.7611111111111111,0.9183245897293091,0.7611111111111111,0.9183245897293091,0.0,0.0,0.0,0
10,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,0.9945989847183228,5.07352352142334,0.71875,0.7611111111111111,0.0,0.5575039982795715,5.07352352142334,0.96875,0.7611111111111111,0.0,0.7611111111111111,0.8548426628112793,0.7611111111111111,0.8548426628112793,0.0,0.0,0.0,0
11,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,0.9374003410339355,4.764634132385254,0.71875,0.7555555555555555,0.0,0.49171972274780273,4.764634132385254,0.96875,0.7555555555555555,0.0,0.7555555555555555,0.8010988235473633,0.7555555555555555,0.8010988235473633,0.0,0.0,0.0,0
12,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,9.0,12.0,12.0,12.0,12.0,0.8829678893089294,4.488374710083008,0.71875,0.7611111111111111,0.0,0.4361608624458313,4.488374710083008,0.96875,0.7611111111111111,0.0,0.7611111111111111,0.7540514469146729,0.7611111111111111,0.7540514469146729,0.0,0.0,0.0,0
13,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.833751916885376,4.239075183868408,0.71875,0.7722222222222223,0.0,0.3874538540840149,4.239075183868408,0.96875,0.7722222222222223,0.0,0.7722222222222223,0.7119287252426147,0.7722222222222223,0.7119287252426147,0.0,0.0,0.0,0
14,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.7915101051330566,4.020010471343994,0.734375,0.7611111111111111,0.0,0.34378576278686523,4.020010471343994,0.96875,0.7611111111111111,0.0,0.7611111111111111,0.6745494604110718,0.7611111111111111,0.6745494604110718,0.0,0.0,0.0,0
15,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,5.5,9.5,12.0,12.0,12.0,11.5,0.7552753686904907,3.8280434608459473,0.734375,0.7555555555555555,0.0,0.30314552783966064,3.8280434608459473,0.96875,0.7555555555555555,0.0,0.7555555555555555,0.6389978528022766,0.7555555555555555,0.6389978528022766,0.0,0.0,0.0,0
16,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.7234498858451843,3.659951686859131,0.765625,0.7722222222222223,0.0,0.2662349343299866,3.659951686859131,0.984375,0.7722222222222223,0.0,0.7722222222222223,0.6048774719238281,0.7722222222222223,0.6048774719238281,0.0,0.0,0.0,0
17,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,5.5,9.5,12.0,12.0,12.0,11.5,0.6942573189735413,3.5097286701202393,0.734375,0.7722222222222223,0.0,0.23422962427139282,3.5097286701202393,0.984375,0.7722222222222223,0.0,0.7722222222222223,0.5735300183296204,0.7722222222222223,0.5735300183296204,0.0,0.0,0.0,0
18,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,5.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,11.0,0.6674418449401855,3.3761587142944336,0.734375,0.7777777777777778,0.0,0.20706067979335785,3.3761587142944336,0.984375,0.7777777777777778,0.0,0.7777777777777778,0.5471630096435547,0.7777777777777778,0.5471630096435547,0.0,0.0,0.0,0
19,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.6423800587654114,3.2608587741851807,0.765625,0.7666666666666667,0.0,0.1842886507511139,3.2608587741851807,0.984375,0.7666666666666667,0.0,0.7666666666666667,0.5252258777618408,0.7666666666666667,0.5252258777618408,0.0,0.0,0.0,0
20,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,0.6204129457473755,3.1643307209014893,0.71875,0.7666666666666667,0.0,0.1648174524307251,3.1643307209014893,0.984375,0.7666666666666667,0.0,0.7666666666666667,0.505682647228241,0.7666666666666667,0.505682647228241,0.0,0.0,0.0,0
21,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.6000751852989197,3.0816171169281006,0.71875,0.7722222222222223,0.0,0.1473967730998993,3.0816171169281006,0.984375,0.7722222222222223,0.0,0.7722222222222223,0.487851083278656,0.7722222222222223,0.487851083278656,0.0,0.0,0.0,0
22,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.5814146399497986,3.0098516941070557,0.75,0.7777777777777778,0.0,0.13219264149665833,3.0098516941070557,0.984375,0.7777777777777778,0.0,0.7777777777777778,0.472993940114975,0.7777777777777778,0.472993940114975,0.0,0.0,0.0,0
23,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,0.5636835694313049,2.9439475536346436,0.75,0.7833333333333333,0.0,0.11916649341583252,2.9439475536346436,0.984375,0.7833333333333333,0.0,0.7833333333333333,0.46172061562538147,0.7833333333333333,0.46172061562538147,0.0,0.0,0.0,0
24,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,11.5,0.5465072989463806,2.8881397247314453,0.734375,0.7777777777777778,0.0,0.10772216320037842,2.8881397247314453,0.984375,0.7777777777777778,0.0,0.7777777777777778,0.4528726637363434,0.7777777777777778,0.4528726637363434,0.0,0.0,0.0,0
25,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.5311006307601929,2.843334197998047,0.75,0.7833333333333333,0.0,0.09753227233886719,2.843334197998047,1.0,0.7833333333333333,0.0,0.7833333333333333,0.4445621371269226,0.7833333333333333,0.4445621371269226,0.0,0.0,0.0,0
26,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.5,6.0,6.0,10.0,12.0,11.5,12.0,12.0,0.5178722739219666,2.805906057357788,0.734375,0.7888888888888889,0.0,0.08821777999401093,2.805906057357788,1.0,0.7888888888888889,0.0,0.7888888888888889,0.437328040599823,0.7888888888888889,0.437328040599823,0.0,0.0,0.0,0
27,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,0.5049059987068176,2.770198106765747,0.765625,0.7833333333333333,0.0,0.07993268221616745,2.770198106765747,1.0,0.7833333333333333,0.0,0.7833333333333333,0.4324503540992737,0.7833333333333333,0.4324503540992737,0.0,0.0,0.0,0
28,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,5.0,6.0,6.0,9.5,12.0,11.0,12.0,12.0,0.49163487553596497,2.7341465950012207,0.765625,0.7833333333333333,0.0,0.07281786948442459,2.7341465950012207,1.0,0.7833333333333333,0.0,0.7833333333333333,0.4287082552909851,0.7833333333333333,0.4287082552909851,0.0,0.0,0.0,0
29,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.47867757081985474,2.702256441116333,0.796875,0.7888888888888889,0.0,0.06660384684801102,2.702256441116333,1.0,0.7888888888888889,0.0,0.7888888888888889,0.4244874119758606,0.7888888888888889,0.4244874119758606,0.0,0.0,0.0,0
30,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,0.4674040377140045,2.6767566204071045,0.8125,0.7888888888888889,0.0,0.06115896999835968,2.6767566204071045,1.0,0.7888888888888889,0.0,0.7888888888888889,0.4200999140739441,0.7888888888888889,0.4200999140739441,0.0,0.0,0.0,0
31,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.4569268226623535,2.653132438659668,0.796875,0.7944444444444444,0.0,0.056310392916202545,2.653132438659668,1.0,0.7944444444444444,0.0,0.7944444444444444,0.4170435070991516,0.7944444444444444,0.4170435070991516,0.0,0.0,0.0,0
32,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.0,12.0,12.0,12.0,12.0,0.4460335969924927,2.6287529468536377,0.828125,0.8,0.0,0.05210699886083603,2.6287529468536377,1.0,0.8,0.0,0.8,0.4156258702278137,0.8,0.4156258702278137,0.0,0.0,0.0,0
33,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,4.5,6.0,5.0,5.5,6.0,9.0,12.0,11.0,11.5,12.0,0.43476369976997375,2.606186866760254,0.828125,0.8,0.0,0.048458829522132874,2.606186866760254,1.0,0.8,0.0,0.8,0.4141666293144226,0.8,0.4141666293144226,0.0,0.0,0.0,0
34,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,0.42426586151123047,2.5873889923095703,0.828125,0.7944444444444444,0.0,0.045238420367240906,2.5873889923095703,1.0,0.7944444444444444,0.0,0.7944444444444444,0.4120942950248718,0.7944444444444444,0.4120942950248718,0.0,0.0,0.0,0
35,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.41414523124694824,2.5691657066345215,0.828125,0.7944444444444444,0.0,0.04245787858963013,2.5691657066345215,1.0,0.7944444444444444,0.0,0.7944444444444444,0.4103717803955078,0.7944444444444444,0.4103717803955078,0.0,0.0,0.0,0
36,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,6.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,0.4035997986793518,2.5521955490112305,0.828125,0.8055555555555556,0.0,0.0399884358048439,2.5521955490112305,1.0,0.8055555555555556,0.0,0.8055555555555556,0.40976572036743164,0.8055555555555556,0.40976572036743164,0.0,0.0,0.0,0
37,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.3933485746383667,2.5396571159362793,0.828125,0.8166666666666667,0.0,0.037764981389045715,2.5396571159362793,1.0,0.8166666666666667,0.0,0.8166666666666667,0.40945863723754883,0.8166666666666667,0.40945863723754883,0.0,0.0,0.0,0
38,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,0.3837672472000122,2.5304317474365234,0.828125,0.8111111111111111,0.0,0.035737618803977966,2.5304317474365234,1.0,0.8111111111111111,0.0,0.8111111111111111,0.4091108441352844,0.8111111111111111,0.4091108441352844,0.0,0.0,0.0,0
39,rankdad,0.0001,32,3,5,gru,tapnet-NATOPS,8,10,4.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,8.5,12.0,12.0,12.0,12.0,0.3744659423828125,2.520251512527466,0.828125,0.8111111111111111,0.0,0.03385940194129944,2.520251512527466,1.0,0.8111111111111111,0.0,0.8111111111111111,0.40943747758865356,0.8111111111111111,0.40943747758865356,0.0,0.0,0.0,0
