epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_0_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_1_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_agg_Linear(in_features=784, out_features=512, bias=False)4",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,5.4136125654450264,6.492146596858639,6.591623036649215,5.9960732984293195,7.780104712041885,7.8337696335078535,11.409685863874346,14.272251308900524,14.425392670157068,0.3185140788555145,114.31849670410156,0.8935719131614654,0.9298,0.0,0.051836058497428894,114.31849670410156,0.8606091456689573,0.9298,0.0,0.9298,0.04528290033340454,0.9059,0.04528290033340454,0.0,0.0,0.0,0
1,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,4.5811518324607325,5.5837696335078535,5.726439790575916,5.31544502617801,6.62958115183246,6.7434554973821985,9.896596858638743,12.213350785340314,12.469895287958115,0.21919965744018555,88.47769165039062,0.9604392808683854,0.9429,0.0,0.018297411501407623,88.47769165039062,0.9471451599219479,0.9429,0.0,0.9429,0.0072078704833984375,0.9181,0.0072078704833984375,0.0,0.0,0.0,0
2,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,4.577225130890052,5.540575916230367,5.730366492146596,4.994764397905759,6.404450261780105,6.659685863874346,9.571989528795811,11.94502617801047,12.390052356020943,0.013419955968856812,80.62179565429688,0.9774847354138398,0.9484,0.0,4.842064663534984e-05,80.62179565429688,0.9709001442266905,0.9484,0.0,0.9484,0.007331728935241699,0.9247,0.007331728935241699,0.0,0.0,0.0,0
3,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,4.361256544502618,5.223821989528796,5.475130890052356,4.774869109947644,6.1609947643979055,6.43717277486911,9.136125654450261,11.384816753926701,11.912303664921465,0.01070249080657959,80.77538299560547,0.985837856173677,0.9497,0.0,0.00015813653590157628,80.77538299560547,0.9807414948672266,0.9497,0.0,0.9497,0.0018178224563598633,0.9266,0.0018178224563598633,0.0,0.0,0.0,0
4,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,4.108638743455497,4.9109947643979055,5.043193717277487,4.62303664921466,5.857329842931938,6.054973821989528,8.731675392670157,10.768324607329843,11.098167539267015,0.015058964490890503,73.3587875366211,0.9899084124830394,0.9564,0.0,0.0001356818393105641,73.3587875366211,0.9852803936540256,0.9564,0.0,0.9564,5.4836273193359375e-06,0.915,5.4836273193359375e-06,0.0,0.0,0.0,0
5,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,3.816753926701571,4.482984293193717,4.62041884816754,4.2356020942408374,5.210732984293194,5.392670157068062,8.052356020942408,9.693717277486911,10.013089005235603,0.07062497735023499,60.653507232666016,0.9882123473541384,0.9634,0.0,3.814697265625e-06,60.653507232666016,0.9843895817425978,0.9634,0.0,0.9634,0.00014674663543701172,0.9063,0.00014674663543701172,0.0,0.0,0.0,0
6,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,3.592931937172775,4.325916230366492,4.390052356020942,4.049738219895288,4.884816753926701,5.040575916230367,7.642670157068062,9.210732984293193,9.430628272251308,0.00023996829986572266,62.249412536621094,0.9899508141112618,0.9649,0.0,0.001899329130537808,62.249412536621094,0.9850258759650462,0.9649,0.0,0.9649,1.2516975402832031e-05,0.921,1.2516975402832031e-05,0.0,0.0,0.0,0
7,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,3.4659685863874348,3.968586387434555,4.020942408376963,3.9698952879581153,4.760471204188482,4.888743455497382,7.43586387434555,8.729057591623036,8.909685863874346,0.001975536346435547,56.410308837890625,0.9920284938941656,0.9672,0.0,0.0003503452753648162,56.410308837890625,0.9889284805293967,0.9672,0.0,0.9672,3.337860107421875e-06,0.9091,3.337860107421875e-06,0.0,0.0,0.0,0
8,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,3.3965968586387434,3.887434554973822,3.962041884816754,3.769633507853403,4.549738219895288,4.667539267015707,7.1662303664921465,8.43717277486911,8.629581151832461,0.017224222421646118,61.19526672363281,0.9917740841248304,0.9669,0.0,0.00032520294189453125,61.19526672363281,0.9888012216849071,0.9669,0.0,0.9669,5.364418029785156e-06,0.9229,5.364418029785156e-06,0.0,0.0,0.0,0
9,rankdad,0.0001,32,2,5,simpleff,mnist,16,10,3.162303664921466,3.5785340314136125,3.6387434554973823,3.587696335078534,4.316753926701571,4.4188481675392675,6.75,7.895287958115183,8.057591623036648,0.058186352252960205,66.24535369873047,0.9925797150610584,0.9677,0.0,0.05473622307181358,66.24535369873047,0.9893950962925256,0.9677,0.0,0.9677,0.03464627265930176,0.8592,0.03464627265930176,0.0,0.0,0.0,0
