epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_0_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_1_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_agg_Linear(in_features=784, out_features=512, bias=False)4",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,5.3241830065359474,6.454901960784314,6.585620915032679,5.900653594771242,7.633986928104576,7.741176470588235,11.224836601307189,14.088888888888889,14.326797385620916,0.10603058338165283,132.28109741210938,0.8954228940217391,0.9241,0.0,0.2446119785308838,132.28109741210938,0.861101666099966,0.9241,0.0,0.9241,0.19621169567108154,0.91,0.19621169567108154,0.0,0.0,0.0,0
1,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,4.58954248366013,5.530718954248366,5.622222222222222,5.115032679738562,6.542483660130719,6.700653594771242,9.704575163398692,12.073202614379085,12.322875816993465,0.01056373119354248,84.78477478027344,0.9605129076086957,0.9464,0.0,1.1920928955078125e-06,84.78477478027344,0.94886943216593,0.9464,0.0,0.9464,0.005975544452667236,0.9299,0.005975544452667236,0.0,0.0,0.0,0
2,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,4.409150326797386,5.2745098039215685,5.477124183006536,4.934640522875817,6.277124183006536,6.4222222222222225,9.343790849673203,11.551633986928104,11.899346405228759,0.02636539936065674,86.27761840820312,0.9784731657608695,0.9459,0.0,0.0,86.27761840820312,0.9696531791907514,0.9459,0.0,0.9459,0.00176239013671875,0.9149,0.00176239013671875,0.0,0.0,0.0,0
3,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,4.3241830065359474,5.065359477124183,5.248366013071895,4.688888888888889,5.976470588235294,6.142483660130719,9.013071895424837,11.041830065359477,11.390849673202615,0.010048002004623413,67.61772155761719,0.9847995923913043,0.9585,0.0,7.152557373046875e-07,67.61772155761719,0.9803213192791568,0.9585,0.0,0.9585,5.424022674560547e-05,0.9472,5.424022674560547e-05,0.0,0.0,0.0,0
4,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,4.216993464052288,5.043137254901961,5.207843137254902,4.537254901960784,5.708496732026144,5.8993464052287585,8.754248366013073,10.751633986928105,11.10718954248366,0.008307456970214844,68.44013214111328,0.9879840353260869,0.96,0.0,1.430511474609375e-06,68.44013214111328,0.9846990819449167,0.96,0.0,0.96,0.001094222068786621,0.9293,0.001094222068786621,0.0,0.0,0.0,0
5,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,3.7934640522875815,4.461437908496732,4.584313725490196,4.25359477124183,5.338562091503268,5.440522875816994,8.047058823529412,9.8,10.02483660130719,0.01203957200050354,67.07520294189453,0.9882387907608695,0.9607,0.0,0.0,67.07520294189453,0.9846990819449167,0.9607,0.0,0.9607,0.0017615556716918945,0.9269,0.0017615556716918945,0.0,0.0,0.0,0
6,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,3.6209150326797386,4.26797385620915,4.406535947712419,4.030065359477124,4.989542483660131,5.186928104575164,7.650980392156863,9.257516339869282,9.593464052287581,0.0008481442928314209,56.419036865234375,0.9880689538043478,0.964,0.0,0.0,56.419036865234375,0.9846990819449167,0.964,0.0,0.964,2.2649765014648438e-06,0.916,2.2649765014648438e-06,0.0,0.0,0.0,0
7,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,3.426143790849673,4.040522875816993,4.112418300653594,3.7032679738562093,4.522875816993464,4.6117647058823525,7.129411764705883,8.563398692810457,8.724183006535947,0.0002760887145996094,61.248924255371094,0.9916355298913043,0.9653,0.0,0.0,61.248924255371094,0.9878442706562394,0.9653,0.0,0.9653,5.0067901611328125e-06,0.9159,5.0067901611328125e-06,0.0,0.0,0.0,0
8,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,3.34640522875817,3.796078431372549,3.861437908496732,3.631372549019608,4.345098039215686,4.516339869281046,6.977777777777778,8.141176470588235,8.377777777777778,0.006554067134857178,68.67524719238281,0.9924847146739131,0.9643,0.0,0.0,68.67524719238281,0.9896718803128187,0.9643,0.0,0.9643,0.0003674030303955078,0.9022,0.0003674030303955078,0.0,0.0,0.0,0
9,rankdad,0.0001,32,1,5,simpleff,mnist,16,10,3.2091503267973858,3.7137254901960786,3.792156862745098,3.671895424836601,4.359477124183006,4.457516339869281,6.881045751633987,8.073202614379085,8.249673202614378,0.37155336141586304,75.1765365600586,0.9930366847826086,0.9605,0.0,0.0,75.1765365600586,0.9897993879632778,0.9605,0.0,0.9605,0.00043964385986328125,0.8769,0.00043964385986328125,0.0,0.0,0.0,0
