epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_1_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_agg_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
10,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7584,6.0,6.0,5.7728,6.0,5.9952,6.0,1.8272,6.0,6.0,5.664,6.0,5.9968,6.0,3.5856,12.0,12.0,11.4368,12.0,11.992,12.0,0.11371492594480515,822.3784790039062,0.8864,0.7794,0.0,0.18090581893920898,823.7687377929688,0.8929,0.78464,0.0,0.0,823.0736083984375,0.0,0,0.0,0.0,0.0,0
11,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8288,6.0,6.0,5.6864,6.0,6.0,6.0,1.8576,6.0,6.0,5.648,6.0,6.0,6.0,3.6864,12.0,12.0,11.3344,12.0,12.0,12.0,0.2650301158428192,865.145751953125,0.8959,0.77404,0.0,0.18524852395057678,856.3419189453125,0.9046,0.78352,0.0,0.0,860.7438354492188,0.0,0,0.0,0.0,0.0,0
12,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8624,6.0,6.0,5.6608,6.0,5.9968,6.0,1.8544,6.0,6.0,5.5824,6.0,5.9936,6.0,3.7168,12.0,12.0,11.2432,12.0,11.9904,12.0,0.12762483954429626,905.4784545898438,0.906,0.78012,0.0,0.10068602114915848,903.6074829101562,0.9135,0.78724,0.0,0.0,904.54296875,0.0,0,0.0,0.0,0.0,0
13,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8032,6.0,6.0,5.5792,6.0,5.9984,5.9968,1.7616,6.0,6.0,5.4704,6.0,6.0,6.0,3.5648,12.0,12.0,11.0496,12.0,11.9984,11.9968,0.10746215283870697,942.3173828125,0.9176,0.77472,0.0,0.11387639492750168,964.2386474609375,0.9216,0.78244,0.0,0.0,953.2780151367188,0.0,0,0.0,0.0,0.0,0
14,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7952,5.9936,6.0,5.4496,6.0,6.0,6.0,1.8128,6.0,6.0,5.4768,6.0,6.0,6.0,3.608,11.9936,12.0,10.9264,12.0,12.0,12.0,0.20043246448040009,999.723876953125,0.9282,0.77804,0.0,0.14387324452400208,1002.2388916015625,0.9314,0.78424,0.0,0.0,1000.9813842773438,0.0,0,0.0,0.0,0.0,0
15,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8416,5.9968,6.0,5.3568,6.0,5.9984,6.0,1.7168,6.0,6.0,5.3664,6.0,5.9968,6.0,3.5584,11.9968,12.0,10.7232,12.0,11.9952,12.0,0.17937907576560974,1033.763427734375,0.9373,0.78184,0.0,0.05471093952655792,1035.58544921875,0.9408,0.7884,0.0,0.0,1034.6744384765625,0.0,0,0.0,0.0,0.0,0
16,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8192,6.0,6.0,5.0928,6.0,6.0,6.0,1.8016,6.0,6.0,5.0832,6.0,6.0,6.0,3.6208,12.0,12.0,10.176,12.0,12.0,12.0,0.1378694325685501,1101.9444580078125,0.9448,0.7804,0.0,0.15316684544086456,1094.497314453125,0.9483,0.7858,0.0,0.0,1098.220947265625,0.0,0,0.0,0.0,0.0,0
17,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.88,6.0,6.0,5.1168,6.0,5.9984,6.0,1.7248,5.9968,6.0,4.9184,6.0,5.9968,6.0,3.6048,11.9968,12.0,10.0352,12.0,11.9952,12.0,0.07544989138841629,1252.3485107421875,0.9542,0.77456,0.0,0.01643216982483864,1228.2742919921875,0.9551,0.78136,0.0,0.0,1240.3114013671875,0.0,0,0.0,0.0,0.0,0
18,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7968,5.9904,6.0,4.872,6.0,5.9968,6.0,1.8464,5.9984,6.0,4.768,6.0,6.0,6.0,3.6432,11.9888,12.0,9.64,12.0,11.9968,12.0,0.10578610748052597,1345.432861328125,0.9628,0.7786,0.0,0.008130520582199097,1312.9461669921875,0.9636,0.78492,0.0,0.0,1329.189453125,0.0,0,0.0,0.0,0.0,0
19,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.832,6.0,6.0,4.6912,6.0,6.0,6.0,1.8144,6.0,6.0,4.6,6.0,6.0,6.0,3.6464,12.0,12.0,9.2912,12.0,12.0,12.0,0.31036707758903503,1407.719970703125,0.9689,0.7784,0.0,0.11599157750606537,1375.591064453125,0.97,0.78604,0.0,0.0,1391.655517578125,0.0,0,0.0,0.0,0.0,0
20,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8544,6.0,6.0,4.6032,6.0,6.0,6.0,1.7136,6.0,6.0,4.5712,6.0,6.0,6.0,3.568,12.0,12.0,9.1744,12.0,12.0,12.0,0.16863329708576202,1544.6407470703125,0.9754,0.7756,0.0,0.019719790667295456,1502.0789794921875,0.9754,0.78248,0.0,0.0,1523.35986328125,0.0,0,0.0,0.0,0.0,0
21,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8048,6.0,6.0,4.5056,6.0,5.9984,6.0,1.7552,6.0,6.0,4.4624,6.0,6.0,6.0,3.56,12.0,12.0,8.968,12.0,11.9984,12.0,0.02869747392833233,1681.792236328125,0.9795,0.77448,0.0,0.0067270249128341675,1702.3773193359375,0.9794,0.77864,0.0,0.0,1692.084716796875,0.0,0,0.0,0.0,0.0,0
22,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8336,6.0,6.0,4.4672,6.0,5.992,6.0,1.8208,5.9952,6.0,4.3824,6.0,6.0,6.0,3.6544,11.9952,12.0,8.8496,12.0,11.992,12.0,0.0014495104551315308,1772.4376220703125,0.9849,0.77552,0.0,0.1664857566356659,1737.500732421875,0.9843,0.78276,0.0,0.0,1754.96923828125,0.0,0,0.0,0.0,0.0,0
23,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7264,6.0,6.0,4.3632,6.0,5.9984,6.0,1.7328,6.0,6.0,4.3792,6.0,6.0,6.0,3.4592,12.0,12.0,8.7424,12.0,11.9984,12.0,7.273256778717041e-05,1889.206787109375,0.9873,0.7762,0.0,0.007325410842895508,1840.4881591796875,0.9879,0.78096,0.0,0.0,1864.847412109375,0.0,0,0.0,0.0,0.0,0
24,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8752,6.0,6.0,4.3616,6.0,5.9984,6.0,1.8784,5.9952,6.0,4.3664,6.0,6.0,6.0,3.7536,11.9952,12.0,8.728,12.0,11.9984,12.0,0.012979753315448761,2214.71630859375,0.9913,0.768,0.0,0.022688787430524826,2127.012939453125,0.9902,0.77576,0.0,0.0,2170.86474609375,0.0,0,0.0,0.0,0.0,0
25,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7968,6.0,6.0,4.3648,6.0,6.0,6.0,1.7552,6.0,6.0,4.4224,6.0,5.9984,6.0,3.552,12.0,12.0,8.7872,12.0,11.9984,12.0,0.019849147647619247,2248.309814453125,0.9937,0.77016,0.0,0.0007478892803192139,2167.244384765625,0.9934,0.77808,0.0,0.0,2207.777099609375,0.0,0,0.0,0.0,0.0,0
26,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7824,6.0,6.0,4.4288,6.0,6.0,6.0,1.7568,6.0,6.0,4.4688,6.0,6.0,6.0,3.5392,12.0,12.0,8.8976,12.0,12.0,12.0,0.0070666298270225525,2419.054443359375,0.9943,0.76904,0.0,0.004754990339279175,2351.341064453125,0.9949,0.77616,0.0,0.0,2385.19775390625,0.0,0,0.0,0.0,0.0,0
27,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8048,6.0,6.0,4.4736,6.0,6.0,6.0,1.816,5.9984,6.0,4.4128,6.0,5.9968,6.0,3.6208,11.9984,12.0,8.8864,12.0,11.9968,12.0,0.0012772530317306519,2719.2197265625,0.9967,0.7632,0.0,0.007983379065990448,2589.02978515625,0.996,0.77024,0.0,0.0,2654.124755859375,0.0,0,0.0,0.0,0.0,0
28,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7808,5.9952,6.0,4.5568,6.0,6.0,6.0,1.8736,6.0,6.0,4.4352,6.0,6.0,6.0,3.6544,11.9952,12.0,8.992,12.0,12.0,12.0,0.0012989938259124756,2886.36572265625,0.9964,0.76048,0.0,4.208087921142578e-05,2692.449951171875,0.9976,0.77064,0.0,0.0,2789.40771484375,0.0,0,0.0,0.0,0.0,0
29,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8512,6.0,6.0,4.416,6.0,6.0,6.0,1.8608,5.9984,6.0,4.4288,6.0,6.0,6.0,3.712,11.9984,12.0,8.8448,12.0,12.0,12.0,0.0007886737585067749,2861.81591796875,0.9981,0.76764,0.0,0.001165054738521576,2803.61181640625,0.9975,0.77272,0.0,0.0,2832.7138671875,0.0,0,0.0,0.0,0.0,0
30,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.832,5.9952,6.0,4.5184,6.0,5.9984,6.0,1.7808,6.0,6.0,4.5152,6.0,5.9968,6.0,3.6128,11.9952,12.0,9.0336,12.0,11.9952,12.0,0.00030191242694854736,2891.25,0.9981,0.76888,0.0,7.218122482299805e-05,2819.767578125,0.9978,0.7734,0.0,0.0,2855.5087890625,0.0,0,0.0,0.0,0.0,0
31,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8208,5.9984,6.0,4.544,6.0,5.9968,5.9984,1.816,6.0,6.0,4.5872,6.0,5.9968,6.0,3.6368,11.9984,12.0,9.1312,12.0,11.9936,11.9984,0.003421179950237274,3132.367919921875,0.9987,0.76644,0.0,6.945431232452393e-05,2953.713623046875,0.9983,0.77468,0.0,0.0,3043.040771484375,0.0,0,0.0,0.0,0.0,0
32,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7232,6.0,6.0,4.5952,6.0,6.0,6.0,1.8992,6.0,6.0,4.5312,6.0,6.0,6.0,3.6224,12.0,12.0,9.1264,12.0,12.0,12.0,0.0003155916929244995,3128.627685546875,0.9985,0.7676,0.0,1.2427568435668945e-05,2993.0126953125,0.9986,0.77424,0.0,0.0,3060.8203125,0.0,0,0.0,0.0,0.0,0
33,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8016,6.0,6.0,4.5456,6.0,5.9936,6.0,1.8496,6.0,6.0,4.52,6.0,5.9968,6.0,3.6512,12.0,12.0,9.0656,12.0,11.9904,12.0,7.554888725280762e-05,3283.333251953125,0.9982,0.76536,0.0,3.2335519790649414e-05,3091.04443359375,0.9989,0.77236,0.0,0.0,3187.18896484375,0.0,0,0.0,0.0,0.0,0
34,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8128,6.0,6.0,4.5904,6.0,6.0,6.0,1.824,6.0,6.0,4.5952,6.0,5.9984,6.0,3.6368,12.0,12.0,9.1856,12.0,11.9984,12.0,2.9265880584716797e-05,3364.574951171875,0.999,0.76368,0.0,3.0547380447387695e-05,3211.656005859375,0.9991,0.7696,0.0,0.0,3288.115478515625,0.0,0,0.0,0.0,0.0,0
35,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8608,6.0,6.0,4.5744,6.0,5.9952,6.0,1.8816,6.0,6.0,4.6288,6.0,6.0,6.0,3.7424,12.0,12.0,9.2032,12.0,11.9952,12.0,0.00011160969734191895,3725.00146484375,0.9994,0.75792,0.0,0.03239370137453079,3354.385498046875,0.9987,0.76912,0.0,0.0,3539.693359375,0.0,0,0.0,0.0,0.0,0
36,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8528,6.0,6.0,4.5664,6.0,6.0,6.0,1.8,6.0,6.0,4.6544,6.0,5.9968,6.0,3.6528,12.0,12.0,9.2208,12.0,11.9968,12.0,2.759695053100586e-05,3663.37939453125,0.999,0.76136,0.0,0.001500748097896576,3347.2431640625,0.999,0.77168,0.0,0.0,3505.311279296875,0.0,0,0.0,0.0,0.0,0
37,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.904,6.0,6.0,4.6,6.0,6.0,6.0,1.9008,6.0,6.0,4.672,6.0,6.0,6.0,3.8048,12.0,12.0,9.272,12.0,12.0,12.0,1.4632940292358398e-05,3464.024658203125,0.9987,0.76956,0.0,0.00017511844635009766,3251.156494140625,0.9991,0.77532,0.0,0.0,3357.590576171875,0.0,0,0.0,0.0,0.0,0
38,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.9008,5.9984,6.0,4.5968,6.0,6.0,6.0,1.8976,6.0,6.0,4.5552,6.0,5.9952,6.0,3.7984,11.9984,12.0,9.152,12.0,11.9952,12.0,1.6093254089355469e-06,3578.015869140625,0.9988,0.7662,0.0,1.8775463104248047e-06,3320.1572265625,0.999,0.77364,0.0,0.0,3449.08642578125,0.0,0,0.0,0.0,0.0,0
39,rankdad,0.0001,16,3,5,transformer,imdb,8,10,2.0192,6.0,6.0,4.608,6.0,5.9952,6.0,1.92,6.0,6.0,4.536,6.0,5.9952,6.0,3.9392,12.0,12.0,9.144,12.0,11.9904,12.0,0.027900194749236107,3569.365234375,0.9993,0.77224,0.0,1.2516975402832031e-05,3499.567138671875,0.9991,0.77324,0.0,0.0,3534.46630859375,0.0,0,0.0,0.0,0.0,0
40,rankdad,0.0001,16,3,5,transformer,imdb,8,10,2.048,5.9952,6.0,4.5152,6.0,6.0,6.0,1.992,6.0,6.0,4.4528,6.0,5.9984,6.0,4.04,11.9952,12.0,8.968,12.0,11.9984,12.0,2.5540590286254883e-05,3738.1162109375,0.9993,0.76884,0.0,0.00010041892528533936,3570.597900390625,0.9987,0.77336,0.0,0.0,3654.35693359375,0.0,0,0.0,0.0,0.0,0
41,rankdad,0.0001,16,3,5,transformer,imdb,8,10,2.0608,6.0,6.0,4.6416,6.0,6.0,6.0,1.9488,6.0,6.0,4.592,6.0,5.992,6.0,4.0096,12.0,12.0,9.2336,12.0,11.992,12.0,0.00020287930965423584,4075.232421875,0.9995,0.76116,0.0,1.8775463104248047e-06,3674.220458984375,0.9995,0.77228,0.0,0.0,3874.7265625,0.0,0,0.0,0.0,0.0,0
42,rankdad,0.0001,16,3,5,transformer,imdb,8,10,2.144,6.0,6.0,4.7328,6.0,6.0,6.0,2.0064,5.9984,6.0,4.6592,6.0,6.0,6.0,4.1504,11.9984,12.0,9.392,12.0,12.0,12.0,6.16908073425293e-06,3816.171875,0.9999,0.767,0.0,0.00011204183101654053,3560.0625,0.9999,0.77168,0.0,0.0,3688.1171875,0.0,0,0.0,0.0,0.0,0
