epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_1_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_agg_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7488,5.2768,6.0,4.1088,6.0,6.0,6.0,1.8336,5.248,6.0,4.0448,6.0,6.0,6.0,3.5824,10.5248,12.0,8.1536,12.0,12.0,12.0,0.6554458141326904,1062.59228515625,0.5194,0.574,0.0,0.6368998289108276,1065.009521484375,0.5131,0.54988,0.0,0.0,1063.8009033203125,0.0,0,0.0,0.0,0.0,0
1,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.84,5.9824,6.0,5.68,5.9984,6.0,6.0,1.7408,5.9856,5.992,5.6752,5.9936,6.0,6.0,3.5808,11.968,11.992,11.3552,11.992,12.0,12.0,0.40527719259262085,903.69091796875,0.6554,0.69224,0.0,0.676611065864563,900.9584350585938,0.6617,0.69716,0.0,0.0,902.32470703125,0.0,0,0.0,0.0,0.0,0
2,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8016,6.0,5.9968,5.8384,6.0,6.0,6.0,1.808,6.0,6.0,5.8288,6.0,5.992,5.9984,3.6096,12.0,11.9968,11.6672,12.0,11.992,11.9984,0.4902611970901489,842.7227783203125,0.7345,0.72776,0.0,0.5113670825958252,835.6004028320312,0.7393,0.7296,0.0,0.0,839.16162109375,0.0,0,0.0,0.0,0.0,0
3,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.752,6.0,6.0,5.8192,6.0,5.9968,5.9968,1.7952,6.0,6.0,5.8384,6.0,5.9936,6.0,3.5472,12.0,12.0,11.6576,12.0,11.9904,11.9968,0.5941460132598877,821.7728881835938,0.7755,0.74024,0.0,0.3846864700317383,817.0231323242188,0.7701,0.74228,0.0,0.0,819.3980102539062,0.0,0,0.0,0.0,0.0,0
4,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8272,5.9952,6.0,5.8224,6.0,5.9968,6.0,1.7632,6.0,6.0,5.8048,6.0,5.9936,6.0,3.5904,11.9952,12.0,11.6272,12.0,11.9904,12.0,0.49791938066482544,794.7692260742188,0.7942,0.75636,0.0,0.6626591086387634,791.8019409179688,0.7993,0.75912,0.0,0.0,793.2855834960938,0.0,0,0.0,0.0,0.0,0
5,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7728,6.0,6.0,5.7904,6.0,6.0,6.0,1.8048,6.0,6.0,5.8112,6.0,5.9984,6.0,3.5776,12.0,12.0,11.6016,12.0,11.9984,12.0,0.17493975162506104,788.4007568359375,0.8138,0.76272,0.0,0.5710190534591675,791.5241088867188,0.8188,0.7642,0.0,0.0,789.96240234375,0.0,0,0.0,0.0,0.0,0
6,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7696,6.0,6.0,5.8416,6.0,6.0,6.0,1.8064,6.0,6.0,5.7952,6.0,5.9968,5.9984,3.576,12.0,12.0,11.6368,12.0,11.9968,11.9984,0.3687044680118561,789.6283569335938,0.8325,0.76752,0.0,0.509989857673645,792.0803833007812,0.8332,0.7678,0.0,0.0,790.8543701171875,0.0,0,0.0,0.0,0.0,0
7,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7568,6.0,6.0,5.824,6.0,5.9984,6.0,1.7984,6.0,5.9968,5.808,6.0,6.0,6.0,3.5552,12.0,11.9968,11.632,12.0,11.9984,12.0,0.17975962162017822,791.902099609375,0.8461,0.7692,0.0,0.660901665687561,805.0289916992188,0.8506,0.7712,0.0,0.0,798.465576171875,0.0,0,0.0,0.0,0.0,0
8,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8096,5.9952,6.0,5.8144,6.0,5.9952,6.0,1.7456,6.0,6.0,5.8272,6.0,6.0,6.0,3.5552,11.9952,12.0,11.6416,12.0,11.9952,12.0,0.3691183924674988,811.1119995117188,0.8595,0.77052,0.0,0.3794940114021301,803.8245849609375,0.8668,0.77832,0.0,0.0,807.46826171875,0.0,0,0.0,0.0,0.0,0
9,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7872,6.0,6.0,5.7952,6.0,5.9984,6.0,1.7952,5.9984,6.0,5.7664,6.0,5.9968,6.0,3.5824,11.9984,12.0,11.5616,12.0,11.9952,12.0,0.10789431631565094,821.104736328125,0.875,0.77756,0.0,0.9824298620223999,829.6251220703125,0.8788,0.77988,0.0,0.0,825.3649291992188,0.0,0,0.0,0.0,0.0,0
10,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7552,6.0,6.0,5.7104,6.0,5.9984,6.0,1.792,5.9968,6.0,5.7488,6.0,6.0,6.0,3.5472,11.9968,12.0,11.4592,12.0,11.9984,12.0,0.5346987843513489,856.600830078125,0.8857,0.7764,0.0,0.8042442798614502,871.5134887695312,0.8916,0.78068,0.0,0.0,864.05712890625,0.0,0,0.0,0.0,0.0,0
11,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7712,6.0,6.0,5.6992,6.0,6.0,6.0,1.7312,5.9968,6.0,5.7152,6.0,6.0,6.0,3.5024,11.9968,12.0,11.4144,12.0,12.0,12.0,0.28779733180999756,895.19189453125,0.896,0.77336,0.0,0.3251418173313141,885.3258056640625,0.9029,0.77944,0.0,0.0,890.2588500976562,0.0,0,0.0,0.0,0.0,0
12,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8112,6.0,6.0,5.6784,6.0,6.0,6.0,1.8496,6.0,6.0,5.5952,6.0,6.0,6.0,3.6608,12.0,12.0,11.2736,12.0,12.0,12.0,0.21558353304862976,934.3716430664062,0.9062,0.77952,0.0,0.2068534791469574,939.9005126953125,0.913,0.78204,0.0,0.0,937.1361083984375,0.0,0,0.0,0.0,0.0,0
13,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8848,5.9952,6.0,5.608,6.0,6.0,6.0,1.7792,6.0,6.0,5.6192,6.0,5.9984,6.0,3.664,11.9952,12.0,11.2272,12.0,11.9984,12.0,0.28094619512557983,979.0013427734375,0.9162,0.77828,0.0,0.04531654715538025,990.0960083007812,0.9236,0.78176,0.0,0.0,984.5487060546875,0.0,0,0.0,0.0,0.0,0
14,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8304,6.0,6.0,5.5216,6.0,6.0,6.0,1.8576,5.9984,6.0,5.5504,6.0,5.9984,6.0,3.688,11.9984,12.0,11.072,12.0,11.9984,12.0,0.24700795114040375,1048.1434326171875,0.9282,0.77432,0.0,0.23122800886631012,1047.009033203125,0.9332,0.78108,0.0,0.0,1047.576171875,0.0,0,0.0,0.0,0.0,0
15,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.784,5.9984,6.0,5.4656,6.0,6.0,6.0,1.8544,5.9952,6.0,5.4224,6.0,5.9984,6.0,3.6384,11.9936,12.0,10.888,12.0,11.9984,12.0,0.1398061215877533,1083.8277587890625,0.938,0.77972,0.0,0.5071427822113037,1085.41162109375,0.9433,0.781,0.0,0.0,1084.61962890625,0.0,0,0.0,0.0,0.0,0
16,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.824,6.0,6.0,5.3712,6.0,5.9952,6.0,1.8512,6.0,6.0,5.3056,6.0,6.0,6.0,3.6752,12.0,12.0,10.6768,12.0,11.9952,12.0,0.22877684235572815,1159.2237548828125,0.9498,0.77936,0.0,0.2297065258026123,1174.6712646484375,0.9505,0.78448,0.0,0.0,1166.947509765625,0.0,0,0.0,0.0,0.0,0
17,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.7888,6.0,6.0,5.1872,6.0,5.9984,6.0,1.8736,6.0,6.0,5.1072,6.0,5.9984,6.0,3.6624,12.0,12.0,10.2944,12.0,11.9968,12.0,0.1520688831806183,1254.6888427734375,0.9574,0.7794,0.0,0.13604851067066193,1264.76220703125,0.9569,0.7838,0.0,0.0,1259.7255859375,0.0,0,0.0,0.0,0.0,0
18,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.9072,5.9904,6.0,5.0944,6.0,5.9968,6.0,1.7168,5.9952,6.0,5.1296,6.0,5.9968,6.0,3.624,11.9856,12.0,10.224,12.0,11.9936,12.0,0.06003354862332344,1392.685791015625,0.9627,0.77852,0.0,0.16373266279697418,1380.6251220703125,0.9637,0.78432,0.0,0.0,1386.655517578125,0.0,0,0.0,0.0,0.0,0
19,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8064,5.9984,6.0,5.0304,6.0,5.9984,6.0,1.8112,6.0,6.0,5.04,6.0,6.0,6.0,3.6176,11.9984,12.0,10.0704,12.0,11.9984,12.0,1.0709558725357056,1536.1197509765625,0.9697,0.77104,0.0,0.2727784216403961,1506.16015625,0.9694,0.77724,0.0,0.0,1521.139892578125,0.0,0,0.0,0.0,0.0,0
20,rankdad,0.0001,16,2,5,transformer,imdb,8,10,1.8496,5.9984,6.0,4.976,6.0,5.9984,6.0,1.76,5.9984,6.0,5.0256,6.0,5.9984,6.0,3.6096,11.9968,12.0,10.0016,12.0,11.9968,12.0,0.017246142029762268,1622.687744140625,0.9752,0.7748,0.0,0.023244965821504593,1663.0843505859375,0.9763,0.77548,0.0,0.0,1642.885986328125,0.0,0,0.0,0.0,0.0,0
