epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_1_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_agg_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.7936,5.6992,6.0,3.9632,6.0,6.0,6.0,1.8128,5.6672,6.0,3.9648,6.0,6.0,6.0,3.6064,11.3664,12.0,7.928,12.0,12.0,12.0,0.653121292591095,1103.51513671875,0.6241,0.5,0.0,0.6614298820495605,1122.2296142578125,0.6206,0.5,0.0,0.0,1112.872314453125,0.0,0,0.0,0.0,0.0,0
1,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.7792,5.9872,6.0,5.6608,6.0,6.0,6.0,1.784,5.9824,6.0,5.6528,6.0,6.0,6.0,3.5632,11.9696,12.0,11.3136,12.0,12.0,12.0,0.4094061255455017,1161.1517333984375,0.6793,0.57888,0.0,0.5861799716949463,1154.1015625,0.6737,0.58316,0.0,0.0,1157.626708984375,0.0,0,0.0,0.0,0.0,0
2,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.856,6.0,6.0,5.8272,5.9984,5.9968,5.9952,1.7744,6.0,6.0,5.8384,6.0,6.0,5.9984,3.6304,12.0,12.0,11.6656,11.9984,11.9968,11.9936,0.5613091588020325,1015.7565307617188,0.7461,0.6584,0.0,0.6171075105667114,966.8467407226562,0.7486,0.67616,0.0,0.0,991.3016357421875,0.0,0,0.0,0.0,0.0,0
3,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.784,6.0,6.0,5.8064,6.0,6.0,5.9984,1.8176,6.0,6.0,5.832,6.0,6.0,6.0,3.6016,12.0,12.0,11.6384,12.0,12.0,11.9984,0.1368817687034607,978.6961669921875,0.7835,0.6914,0.0,0.32672780752182007,961.6642456054688,0.782,0.6938,0.0,0.0,970.18017578125,0.0,0,0.0,0.0,0.0,0
4,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.8192,6.0,6.0,5.8176,6.0,6.0,6.0,1.8464,6.0,6.0,5.8592,6.0,6.0,5.9984,3.6656,12.0,12.0,11.6768,12.0,12.0,11.9984,0.3342808485031128,829.441162109375,0.803,0.74192,0.0,0.5345479846000671,830.2937622070312,0.8048,0.74192,0.0,0.0,829.867431640625,0.0,0,0.0,0.0,0.0,0
5,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.744,6.0,6.0,5.864,6.0,5.9968,6.0,1.8336,6.0,6.0,5.8528,6.0,5.9888,6.0,3.5776,12.0,12.0,11.7168,12.0,11.9856,12.0,0.30830591917037964,865.8464965820312,0.8251,0.73748,0.0,0.424014151096344,850.115478515625,0.8222,0.74488,0.0,0.0,857.98095703125,0.0,0,0.0,0.0,0.0,0
6,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.7824,6.0,6.0,5.8336,6.0,6.0,6.0,1.7792,6.0,6.0,5.8144,6.0,6.0,5.9984,3.5616,12.0,12.0,11.648,12.0,12.0,11.9984,0.3544035255908966,867.1390991210938,0.8408,0.74668,0.0,0.4413456618785858,891.7391967773438,0.8414,0.743,0.0,0.0,879.4391479492188,0.0,0,0.0,0.0,0.0,0
7,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.776,6.0,6.0,5.7792,6.0,5.9984,6.0,1.8112,5.9968,6.0,5.7888,6.0,6.0,5.9984,3.5872,11.9968,12.0,11.568,12.0,11.9984,11.9984,0.2610430121421814,959.0812377929688,0.8577,0.73468,0.0,0.4165245592594147,1072.8009033203125,0.8549,0.71376,0.0,0.0,1015.9410400390625,0.0,0,0.0,0.0,0.0,0
8,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.784,6.0,6.0,5.776,6.0,6.0,5.9984,1.7824,6.0,6.0,5.7888,6.0,5.9968,6.0,3.5664,12.0,12.0,11.5648,12.0,11.9968,11.9984,0.2437736690044403,868.5950927734375,0.8695,0.76388,0.0,0.41320180892944336,862.4885864257812,0.8702,0.76356,0.0,0.0,865.5418701171875,0.0,0,0.0,0.0,0.0,0
9,rankdad,0.0001,16,1,5,transformer,imdb,8,10,1.8224,6.0,6.0,5.7728,6.0,6.0,6.0,1.7968,6.0,6.0,5.8128,6.0,5.9952,6.0,3.6192,12.0,12.0,11.5856,12.0,11.9952,12.0,0.5668234825134277,875.055908203125,0.8835,0.76236,0.0,0.14770835638046265,859.8480224609375,0.8849,0.765,0.0,0.0,867.4519653320312,0.0,0,0.0,0.0,0.0,0
