epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_1_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_agg_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8096,5.744,6.0,4.072,6.0,5.9952,5.9968,1.808,5.7008,6.0,4.0144,6.0,6.0,6.0,3.6176,11.4448,12.0,8.0864,12.0,11.9952,11.9968,0.6768078207969666,1118.0225830078125,0.6245,0.5,0.0,0.6084427237510681,1114.5887451171875,0.6204,0.5,0.0,0.0,1116.3056640625,0.0,0,0.0,0.0,0.0,0
1,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7632,5.9936,6.0,5.6416,5.9968,6.0,6.0,1.8384,5.9792,6.0,5.6832,6.0,6.0,6.0,3.6016,11.9728,12.0,11.3248,11.9968,12.0,12.0,0.5872741937637329,955.9736938476562,0.6659,0.66048,0.0,0.4881381392478943,948.1056518554688,0.6679,0.66552,0.0,0.0,952.0396728515625,0.0,0,0.0,0.0,0.0,0
2,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7888,5.9984,6.0,5.8848,6.0,5.9968,6.0,1.8368,6.0,6.0,5.8512,5.9968,6.0,5.9984,3.6256,11.9984,12.0,11.736,11.9968,11.9968,11.9984,0.7861797213554382,835.4743041992188,0.7413,0.73108,0.0,0.7275274991989136,842.9585571289062,0.7452,0.72928,0.0,0.0,839.2164306640625,0.0,0,0.0,0.0,0.0,0
3,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.9296,6.0,6.0,5.84,6.0,5.9984,6.0,1.8128,6.0,6.0,5.7696,6.0,6.0,6.0,3.7424,12.0,12.0,11.6096,12.0,11.9984,12.0,0.45275750756263733,824.76220703125,0.78,0.7364,0.0,0.8121865391731262,874.7730712890625,0.7788,0.71536,0.0,0.0,849.7676391601562,0.0,0,0.0,0.0,0.0,0
4,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8128,6.0,6.0,5.7968,6.0,5.9984,6.0,1.7472,6.0,6.0,5.8112,6.0,6.0,6.0,3.56,12.0,12.0,11.608,12.0,11.9984,12.0,0.3537493646144867,827.9248657226562,0.8064,0.739,0.0,0.4608631730079651,843.666015625,0.7968,0.7336,0.0,0.0,835.79541015625,0.0,0,0.0,0.0,0.0,0
5,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7936,6.0,6.0,5.7776,6.0,6.0,6.0,1.8384,6.0,6.0,5.8064,6.0,6.0,6.0,3.632,12.0,12.0,11.584,12.0,12.0,12.0,0.39086320996284485,838.3287963867188,0.8195,0.74384,0.0,0.15589693188667297,842.7713012695312,0.8144,0.7426,0.0,0.0,840.550048828125,0.0,0,0.0,0.0,0.0,0
6,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7696,6.0,6.0,5.784,6.0,6.0,6.0,1.808,6.0,6.0,5.7936,6.0,6.0,6.0,3.5776,12.0,12.0,11.5776,12.0,12.0,12.0,0.548381507396698,812.5980224609375,0.8358,0.75832,0.0,0.457428514957428,802.6854858398438,0.8301,0.76252,0.0,0.0,807.6417236328125,0.0,0,0.0,0.0,0.0,0
7,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.856,6.0,6.0,5.7424,6.0,6.0,6.0,1.7968,6.0,6.0,5.7664,6.0,5.9984,6.0,3.6528,12.0,12.0,11.5088,12.0,11.9984,12.0,0.3807066082954407,843.0765991210938,0.8545,0.7562,0.0,0.9617157578468323,852.1497192382812,0.8475,0.754,0.0,0.0,847.6131591796875,0.0,0,0.0,0.0,0.0,0
8,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8288,6.0,6.0,5.7376,6.0,5.9936,5.9984,1.8016,5.9968,6.0,5.7616,6.0,6.0,6.0,3.6304,11.9968,12.0,11.4992,12.0,11.9936,11.9984,0.4068097472190857,842.49658203125,0.8662,0.76232,0.0,0.10465690493583679,829.8798828125,0.8597,0.76564,0.0,0.0,836.188232421875,0.0,0,0.0,0.0,0.0,0
9,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.72,6.0,6.0,5.6912,6.0,5.9984,6.0,1.8336,6.0,6.0,5.6816,6.0,5.9984,6.0,3.5536,12.0,12.0,11.3728,12.0,11.9968,12.0,0.5394392609596252,907.5780029296875,0.8801,0.75316,0.0,0.2479402869939804,913.970458984375,0.8757,0.75292,0.0,0.0,910.7742309570312,0.0,0,0.0,0.0,0.0,0
10,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7456,6.0,6.0,5.6688,6.0,5.9968,6.0,1.776,5.9952,6.0,5.7184,6.0,5.9984,6.0,3.5216,11.9952,12.0,11.3872,12.0,11.9952,12.0,0.36980119347572327,914.9454345703125,0.8908,0.7592,0.0,0.3625476360321045,894.6112670898438,0.8875,0.76348,0.0,0.0,904.7783203125,0.0,0,0.0,0.0,0.0,0
11,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8048,6.0,6.0,5.7184,6.0,6.0,6.0,1.7872,6.0,6.0,5.7136,6.0,5.9984,6.0,3.592,12.0,12.0,11.432,12.0,11.9984,12.0,0.041422516107559204,897.8826293945312,0.9029,0.77024,0.0,0.051950812339782715,936.3434448242188,0.897,0.763,0.0,0.0,917.113037109375,0.0,0,0.0,0.0,0.0,0
12,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7872,5.9968,6.0,5.5984,6.0,5.9888,6.0,1.8352,6.0,6.0,5.6592,6.0,5.9936,6.0,3.6224,11.9968,12.0,11.2576,12.0,11.9824,12.0,0.2397339642047882,917.86181640625,0.9141,0.77416,0.0,0.7982187271118164,903.3306274414062,0.9091,0.776,0.0,0.0,910.59619140625,0.0,0,0.0,0.0,0.0,0
13,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8528,6.0,6.0,5.6112,6.0,6.0,6.0,1.768,6.0,6.0,5.6304,6.0,5.9888,6.0,3.6208,12.0,12.0,11.2416,12.0,11.9888,12.0,0.13588598370552063,1089.2435302734375,0.9235,0.75796,0.0,0.44877129793167114,1074.791015625,0.9182,0.75488,0.0,0.0,1082.017333984375,0.0,0,0.0,0.0,0.0,0
14,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7648,6.0,6.0,5.5152,6.0,5.9952,6.0,1.7856,6.0,6.0,5.5648,6.0,5.9984,6.0,3.5504,12.0,12.0,11.08,12.0,11.9936,12.0,0.0457129068672657,1022.0471801757812,0.9338,0.77132,0.0,0.09470934420824051,976.4476318359375,0.9261,0.77784,0.0,0.0,999.2474365234375,0.0,0,0.0,0.0,0.0,0
15,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8064,6.0,6.0,5.384,6.0,6.0,6.0,1.8848,5.9984,6.0,5.5264,6.0,5.9936,6.0,3.6912,11.9984,12.0,10.9104,12.0,11.9936,12.0,0.037472695112228394,1272.9951171875,0.9435,0.75544,0.0,0.23709596693515778,1153.5106201171875,0.939,0.76372,0.0,0.0,1213.2529296875,0.0,0,0.0,0.0,0.0,0
16,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8112,6.0,6.0,5.336,6.0,5.9936,6.0,1.8432,6.0,6.0,5.4368,6.0,5.9984,6.0,3.6544,12.0,12.0,10.7728,12.0,11.992,12.0,0.005627892911434174,1242.9559326171875,0.951,0.77224,0.0,0.027542859315872192,1213.333740234375,0.9453,0.77044,0.0,0.0,1228.144775390625,0.0,0,0.0,0.0,0.0,0
17,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.76,6.0,6.0,5.2336,6.0,5.9968,6.0,1.8032,6.0,6.0,5.2864,6.0,5.9984,6.0,3.5632,12.0,12.0,10.52,12.0,11.9952,12.0,0.3623907268047333,1310.8643798828125,0.9597,0.7658,0.0,0.0858093723654747,1287.1795654296875,0.9535,0.76608,0.0,0.0,1299.02197265625,0.0,0,0.0,0.0,0.0,0
18,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8048,5.9984,6.0,5.072,6.0,5.9984,6.0,1.8192,6.0,6.0,5.1056,6.0,5.9936,6.0,3.624,11.9984,12.0,10.1776,12.0,11.992,12.0,0.05051413178443909,1334.4781494140625,0.9659,0.77,0.0,0.2993925213813782,1274.4368896484375,0.9606,0.7738,0.0,0.0,1304.45751953125,0.0,0,0.0,0.0,0.0,0
19,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8224,5.9984,6.0,5.008,6.0,5.9968,6.0,1.7888,6.0,6.0,5.0464,6.0,5.9984,6.0,3.6112,11.9984,12.0,10.0544,12.0,11.9952,12.0,0.12175807356834412,1505.8394775390625,0.9725,0.7634,0.0,0.06048313528299332,1493.836181640625,0.9645,0.76272,0.0,0.0,1499.837890625,0.0,0,0.0,0.0,0.0,0
20,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7664,5.9936,6.0,4.952,6.0,6.0,6.0,1.8128,6.0,6.0,4.8928,6.0,6.0,6.0,3.5792,11.9936,12.0,9.8448,12.0,12.0,12.0,0.01210995763540268,1638.4307861328125,0.9778,0.76688,0.0,0.01167280226945877,1574.7882080078125,0.9728,0.76936,0.0,0.0,1606.6094970703125,0.0,0,0.0,0.0,0.0,0
21,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7552,6.0,6.0,4.8752,6.0,5.9936,6.0,1.744,6.0,6.0,4.8576,6.0,6.0,6.0,3.4992,12.0,12.0,9.7328,12.0,11.9936,12.0,0.0008627176284790039,1827.249267578125,0.9829,0.76848,0.0,0.008648037910461426,1766.4395751953125,0.9784,0.76656,0.0,0.0,1796.844482421875,0.0,0,0.0,0.0,0.0,0
22,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8272,6.0,6.0,4.68,6.0,5.9968,6.0,1.8112,5.992,6.0,4.7152,6.0,5.9968,6.0,3.6384,11.992,12.0,9.3952,12.0,11.9936,12.0,0.013086408376693726,1958.275390625,0.9862,0.76348,0.0,0.008235365152359009,1885.4007568359375,0.9819,0.76476,0.0,0.0,1921.838134765625,0.0,0,0.0,0.0,0.0,0
23,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8064,6.0,6.0,4.7264,6.0,5.9936,6.0,1.8224,6.0,6.0,4.7312,6.0,5.9984,6.0,3.6288,12.0,12.0,9.4576,12.0,11.992,12.0,0.008799202740192413,2230.244873046875,0.9902,0.76064,0.0,0.03763962164521217,2115.263427734375,0.9858,0.7626,0.0,0.0,2172.754150390625,0.0,0,0.0,0.0,0.0,0
24,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8448,6.0,6.0,4.7072,6.0,6.0,6.0,1.7776,6.0,6.0,4.6368,6.0,5.9984,6.0,3.6224,12.0,12.0,9.344,12.0,11.9984,12.0,0.000615537166595459,2514.27734375,0.9919,0.75496,0.0,0.00038686394691467285,2400.240478515625,0.9888,0.75736,0.0,0.0,2457.2587890625,0.0,0,0.0,0.0,0.0,0
25,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7232,6.0,6.0,4.648,6.0,6.0,6.0,1.8336,6.0,6.0,4.7344,6.0,5.9904,6.0,3.5568,12.0,12.0,9.3824,12.0,11.9904,12.0,0.001375734806060791,2565.23486328125,0.9942,0.76312,0.0,0.0002014636993408203,2474.953125,0.9925,0.76048,0.0,0.0,2520.093994140625,0.0,0,0.0,0.0,0.0,0
26,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8768,6.0,6.0,4.576,6.0,5.9952,6.0,1.8,6.0,6.0,4.6496,6.0,6.0,6.0,3.6768,12.0,12.0,9.2256,12.0,11.9952,12.0,5.201995372772217e-05,2696.15625,0.995,0.76608,0.0,0.01800026372075081,2521.122314453125,0.9939,0.76464,0.0,0.0,2608.63916015625,0.0,0,0.0,0.0,0.0,0
27,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.7728,6.0,6.0,4.6368,6.0,5.9936,6.0,1.8272,6.0,6.0,4.5488,6.0,6.0,6.0,3.6,12.0,12.0,9.1856,12.0,11.9936,12.0,0.00046087801456451416,3028.429443359375,0.9966,0.75916,0.0,0.00033809244632720947,3096.767822265625,0.9955,0.75044,0.0,0.0,3062.5986328125,0.0,0,0.0,0.0,0.0,0
28,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8112,6.0,6.0,4.7024,6.0,6.0,6.0,1.8768,5.9952,6.0,4.6768,6.0,5.9984,6.0,3.688,11.9952,12.0,9.3792,12.0,11.9984,12.0,0.0003382265567779541,3059.625732421875,0.9974,0.76136,0.0,0.00020483136177062988,2868.047607421875,0.9968,0.76472,0.0,0.0,2963.836669921875,0.0,0,0.0,0.0,0.0,0
29,rankdad,0.0001,16,0,5,transformer,imdb,8,10,1.8688,6.0,6.0,4.712,6.0,6.0,6.0,1.9344,6.0,6.0,4.7216,6.0,5.9936,6.0,3.8032,12.0,12.0,9.4336,12.0,11.9936,12.0,0.0010972023010253906,3283.068359375,0.9981,0.75868,0.0,0.0004429370164871216,3117.38525390625,0.9979,0.75896,0.0,0.0,3200.226806640625,0.0,0,0.0,0.0,0.0,0
