epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=True)32",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.993606138107417,6.0,6.0,5.982097186700767,6.0,6.0,11.975703324808185,12.0,12.0,0.6704006791114807,1017.6502075195312,0.52952,0.62172,0.0,0.633686900138855,1014.1007080078125,0.53432,0.62632,0.0,0.63708,0.6241796016693115,0.64792,0.609289824962616,0.0,0.0,0.0,0
1,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.9884910485933505,6.0,6.0,6.0,6.0,6.0,11.98849104859335,12.0,12.0,0.5405210256576538,989.098388671875,0.69048,0.64912,0.0,0.6537082195281982,908.2594604492188,0.69,0.685,0.0,0.66568,0.65496826171875,0.67364,0.6439906358718872,0.0,0.0,0.0,0
2,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.998721227621483,6.0,6.0,5.9961636828644505,6.0,6.0,11.994884910485933,12.0,12.0,0.487086683511734,837.0911254882812,0.76624,0.72872,0.0,0.3635398745536804,824.3917846679688,0.75824,0.7294,0.0,0.73452,0.6598929166793823,0.7402,0.6236554980278015,0.0,0.0,0.0,0
3,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.9961636828644505,6.0,6.0,6.0,6.0,6.0,11.99616368286445,12.0,12.0,0.576822817325592,783.7246704101562,0.81712,0.7506,0.0,0.5220142602920532,794.1641235351562,0.81432,0.74448,0.0,0.75324,0.43153685331344604,0.76224,0.3838714361190796,0.0,0.0,0.0,0
4,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.997442455242966,6.0,6.0,11.997442455242966,12.0,12.0,0.5699468851089478,754.224609375,0.862,0.76292,0.0,0.3468970060348511,743.9306640625,0.8548,0.76812,0.0,0.76484,0.4483247995376587,0.77748,0.4751015603542328,0.0,0.0,0.0,0
5,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.998721227621483,6.0,6.0,11.998721227621484,12.0,12.0,0.46302616596221924,759.7314453125,0.89376,0.76256,0.0,0.17697621881961823,765.3363037109375,0.89152,0.75828,0.0,0.77116,0.5235373973846436,0.78424,0.5589421838521957,0.0,0.0,0.0,0
6,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.20381607115268707,740.5097045898438,0.92536,0.76948,0.0,0.11090394854545593,722.0703735351562,0.92096,0.77832,0.0,0.77456,0.8994749784469604,0.78912,0.8541015386581421,0.0,0.0,0.0,0
7,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.997442455242966,6.0,6.0,5.9961636828644505,6.0,6.0,11.993606138107417,12.0,12.0,0.2330687791109085,771.3682250976562,0.9508,0.76308,0.0,0.11614343523979187,717.3516845703125,0.94456,0.78132,0.0,0.77536,0.5785815715789795,0.78944,0.5857719630002975,0.0,0.0,0.0,0
8,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.997442455242966,6.0,6.0,5.9961636828644505,6.0,6.0,11.993606138107417,12.0,12.0,0.39158275723457336,775.6184692382812,0.9676,0.76924,0.0,0.09542853385210037,843.4830322265625,0.96496,0.74724,0.0,0.77976,0.256766140460968,0.79472,0.28547313809394836,0.0,0.0,0.0,0
9,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.994884910485934,6.0,6.0,5.994884910485934,6.0,6.0,11.989769820971867,12.0,12.0,0.07380078732967377,751.1719360351562,0.98384,0.77892,0.0,0.10624447464942932,736.76171875,0.97992,0.786,0.0,0.78296,0.41040974855422974,0.80004,0.37153249979019165,0.0,0.0,0.0,0
10,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.997442455242966,6.0,6.0,11.997442455242966,12.0,12.0,0.03502367436885834,780.5908813476562,0.99184,0.77988,0.0,0.07202234864234924,768.3434448242188,0.99048,0.78384,0.0,0.7838,0.3990904986858368,0.80128,0.5315930247306824,0.0,0.0,0.0,0
11,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.997442455242966,6.0,6.0,11.997442455242966,12.0,12.0,0.03715670108795166,797.8770751953125,0.99656,0.77924,0.0,0.02207493782043457,779.0358276367188,0.9964,0.79148,0.0,0.78764,0.3288913667201996,0.80256,0.35778163373470306,0.0,0.0,0.0,0
12,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.029191121459007263,840.7599487304688,0.99856,0.7808,0.0,0.01651903986930847,813.743408203125,0.99872,0.789,0.0,0.78736,1.0051288604736328,0.80436,0.9581291079521179,0.0,0.0,0.0,0
13,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.991048593350383,6.0,6.0,11.991048593350383,12.0,12.0,0.04474379122257233,924.4166870117188,0.99944,0.7764,0.0,0.014544546604156494,872.9873046875,0.9996,0.78556,0.0,0.784,0.9060547351837158,0.80504,0.8221205174922943,0.0,0.0,0.0,0
14,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.01035347580909729,960.4677124023438,0.99992,0.7818,0.0,0.005246162414550781,891.8292846679688,0.99984,0.78908,0.0,0.7838,0.46065402030944824,0.8034,0.5766745507717133,0.0,0.0,0.0,0
15,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.005634024739265442,995.62353515625,1.0,0.78244,0.0,0.005628719925880432,938.9537353515625,1.0,0.79028,0.0,0.786,0.7960723638534546,0.80612,0.8564886152744293,0.0,0.0,0.0,0
16,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.998721227621483,6.0,6.0,5.998721227621483,6.0,6.0,11.997442455242966,12.0,12.0,0.000919342041015625,1031.671875,1.0,0.78388,0.0,0.0026894956827163696,1007.9285888671875,1.0,0.79096,0.0,0.7878,0.2501479387283325,0.80712,0.25119470804929733,0.0,0.0,0.0,0
17,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.993606138107417,6.0,6.0,11.993606138107417,12.0,12.0,0.001655489206314087,1077.5821533203125,1.0,0.78452,0.0,0.0006353557109832764,1077.977783203125,1.0,0.7882,0.0,0.79104,0.27861517667770386,0.80732,0.24439632892608643,0.0,0.0,0.0,0
18,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,5.993606138107417,6.0,6.0,5.997442455242966,6.0,6.0,11.991048593350383,12.0,12.0,0.00041103363037109375,1140.7166748046875,1.0,0.77972,0.0,0.0014971792697906494,1113.8023681640625,1.0,0.78616,0.0,0.79208,0.5362056493759155,0.80392,0.6211428940296173,0.0,0.0,0.0,0
19,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.998721227621483,6.0,6.0,11.998721227621484,12.0,12.0,0.0005587339401245117,1152.05615234375,1.0,0.785,0.0,0.0004468560218811035,1134.4820556640625,1.0,0.79016,0.0,0.79168,1.6028958559036255,0.80844,1.9182466268539429,0.0,0.0,0.0,0
20,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.998721227621483,6.0,6.0,11.998721227621484,12.0,12.0,0.0007426738739013672,1213.3460693359375,1.0,0.78316,0.0,0.0002593100070953369,1206.421142578125,1.0,0.78732,0.0,0.79076,0.45771166682243347,0.80828,0.862560898065567,0.0,0.0,0.0,0
21,rankdad,0.0001,16,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.998721227621483,6.0,6.0,11.998721227621484,12.0,12.0,0.09356290847063065,1361.6060791015625,0.9968,0.7514,0.0,0.0004794299602508545,1215.2305908203125,1.0,0.78932,0.0,0.77236,0.8234177231788635,0.80256,1.1143141388893127,0.0,0.0,0.0,0
