epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=True)32",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,5.989769820971867,6.0,6.0,5.994884910485934,6.0,6.0,11.9846547314578,12.0,12.0,0.6142266988754272,535.7211303710938,0.53336,0.54684,0.0,0.5768384337425232,523.9200439453125,0.53248,0.58052,0.0,0.59868,0.6439776420593262,0.6048,0.6481707990169525,0.0,0.0,0.0,0
1,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.5543199181556702,469.8426208496094,0.66504,0.6714,0.0,0.5452414155006409,469.90313720703125,0.66768,0.6686,0.0,0.6956,0.6309335231781006,0.70428,0.6390899419784546,0.0,0.0,0.0,0
2,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,5.989769820971867,6.0,6.0,6.0,6.0,6.0,11.989769820971867,12.0,12.0,0.5959263443946838,431.4468688964844,0.75736,0.7104,0.0,0.6004708409309387,426.7633361816406,0.74792,0.72096,0.0,0.72268,0.6383746862411499,0.7344,0.6080474555492401,0.0,0.0,0.0,0
3,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,5.994884910485934,6.0,6.0,6.0,6.0,6.0,11.994884910485933,12.0,12.0,0.4787091612815857,412.214599609375,0.8056,0.73288,0.0,0.4810534715652466,402.6923522949219,0.80392,0.74412,0.0,0.74208,0.45316827297210693,0.7518,0.48281267285346985,0.0,0.0,0.0,0
4,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,5.994884910485934,6.0,6.0,5.989769820971867,6.0,6.0,11.9846547314578,12.0,12.0,0.44864988327026367,410.7875671386719,0.8324,0.72872,0.0,0.41033291816711426,392.91510009765625,0.83392,0.7494,0.0,0.7528,0.5301064252853394,0.76496,0.5304439961910248,0.0,0.0,0.0,0
5,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.5113450884819031,388.7676086425781,0.862,0.7548,0.0,0.30898380279541016,379.0013122558594,0.86152,0.76364,0.0,0.76184,0.4681234359741211,0.773,0.49888908863067627,0.0,0.0,0.0,0
6,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.34101906418800354,372.70660400390625,0.88792,0.76808,0.0,0.3565596342086792,375.2434997558594,0.88584,0.76476,0.0,0.76864,0.49076592922210693,0.7796,0.5307474732398987,0.0,0.0,0.0,0
7,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.17823928594589233,364.0936584472656,0.91648,0.77516,0.0,0.3412459194660187,373.01531982421875,0.9116,0.76748,0.0,0.76968,0.4038908779621124,0.7842,0.4198351353406906,0.0,0.0,0.0,0
8,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.997442455242966,6.0,6.0,11.997442455242966,12.0,12.0,0.2403561919927597,362.9930725097656,0.93184,0.77736,0.0,0.2412939816713333,387.68865966796875,0.93432,0.75852,0.0,0.76588,0.3875279128551483,0.78132,0.39516326785087585,0.0,0.0,0.0,0
9,rankdad,0.0001,32,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.1261710226535797,360.9859619140625,0.95424,0.77928,0.0,0.27039021253585815,364.0738220214844,0.94768,0.77652,0.0,0.7796,0.3522104322910309,0.79292,0.36395251750946045,0.0,0.0,0.0,0
