epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=True)32",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
14,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,0.0016666054725646973,2242.46240234375,1.0,0.78436,0.0,0.0005573630332946777,2295.89990234375,0.99992,0.78964,0.0,0.7898,0.05728870630264282,0.80924,0.09454941749572754,0.0,0.0,0.0,0
15,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.0014635920524597168,2244.15087890625,1.0,0.78336,0.0,0.0023078322410583496,2394.856201171875,0.99992,0.7898,0.0,0.7916,0.3316040635108948,0.80832,0.5364384353160858,0.0,0.0,0.0,0
16,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.0010896623134613037,2481.059326171875,1.0,0.78316,0.0,0.006871670484542847,2471.311767578125,1.0,0.7866,0.0,0.79296,0.36143216490745544,0.80736,0.4079058989882469,0.0,0.0,0.0,0
17,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.004135221242904663,2619.424560546875,1.0,0.77776,0.0,0.00015151500701904297,2713.82958984375,1.0,0.78552,0.0,0.79028,1.2260022163391113,0.81004,1.13456529378891,0.0,0.0,0.0,0
18,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,5.99872040946897,6.0,6.0,11.998080614203454,12.0,12.0,0.0009236931800842285,2581.2900390625,1.0,0.78696,0.0,0.0009745359420776367,2630.944091796875,1.0,0.78948,0.0,0.7904,0.3164716958999634,0.81084,0.28381139039993286,0.0,0.0,0.0,0
19,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,0.0001825094223022461,2703.249267578125,1.0,0.78992,0.0,8.314847946166992e-05,2835.4404296875,0.99976,0.78756,0.0,0.7908,0.029975682497024536,0.8094,0.16826573014259338,0.0,0.0,0.0,0
20,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,4.082918167114258e-05,2771.601806640625,1.0,0.79064,0.0,0.005923926830291748,2890.02587890625,1.0,0.79248,0.0,0.79372,0.07367229461669922,0.81196,0.16859658807516098,0.0,0.0,0.0,0
21,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,8.64267349243164e-06,2855.74609375,1.0,0.79144,0.0,0.0015586614608764648,3016.60302734375,0.99992,0.78752,0.0,0.79116,0.03680986166000366,0.81092,0.3749699592590332,0.0,0.0,0.0,0
22,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99872040946897,6.0,6.0,5.99872040946897,6.0,6.0,11.99744081893794,12.0,12.0,2.473592758178711e-05,2991.043212890625,1.0,0.79144,0.0,9.232759475708008e-05,3021.395263671875,1.0,0.79276,0.0,0.79556,0.13172517716884613,0.81332,0.32024334371089935,0.0,0.0,0.0,0
23,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,6.496906280517578e-06,3073.1044921875,1.0,0.793,0.0,7.271766662597656e-06,3175.673583984375,1.0,0.79352,0.0,0.79556,0.34104812145233154,0.8138,0.13380300998687744,0.0,0.0,0.0,0
24,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.30446553230285645,3066.158447265625,0.99448,0.7654,0.0,0.0005609989166259766,2908.7646484375,0.9988,0.79036,0.0,0.7902,0.5456784963607788,0.80596,1.2111629471182823,0.0,0.0,0.0,0
25,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,0.000850677490234375,2942.397216796875,0.998,0.78608,0.0,6.568431854248047e-05,3081.6796875,1.0,0.78524,0.0,0.7916,0.7626879215240479,0.81076,0.6468089818954468,0.0,0.0,0.0,0
26,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,2.8967857360839844e-05,3068.190673828125,1.0,0.78796,0.0,0.0014050602912902832,3111.025146484375,0.99976,0.79336,0.0,0.79568,0.03866872191429138,0.81312,0.12203297764062881,0.0,0.0,0.0,0
27,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,3.516674041748047e-06,3136.6953125,1.0,0.78896,0.0,9.137392044067383e-05,3449.260498046875,1.0,0.7888,0.0,0.79376,1.327573537826538,0.81248,1.431273490190506,0.0,0.0,0.0,0
28,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,1.0073184967041016e-05,3196.1923828125,1.0,0.7904,0.0,2.9206275939941406e-06,3401.13525390625,1.0,0.79528,0.0,0.7942,0.9899286031723022,0.81516,0.9936330914497375,0.0,0.0,0.0,0
29,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,4.887580871582031e-06,3255.90087890625,1.0,0.79124,0.0,1.6689300537109375e-06,3505.335205078125,1.0,0.7946,0.0,0.79484,0.4622187316417694,0.81512,0.08539511263370514,0.0,0.0,0.0,0
30,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,6.67572021484375e-06,3337.048828125,1.0,0.79244,0.0,2.384185791015625e-06,3542.78759765625,1.0,0.79416,0.0,0.79456,0.34158408641815186,0.81508,0.4908001571893692,0.0,0.0,0.0,0
31,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,4.172325134277344e-07,3402.799560546875,1.0,0.79124,0.0,7.522106170654297e-05,3618.943115234375,0.99744,0.76296,0.0,0.78144,1.0861108303070068,0.80536,0.6810587048530579,0.0,0.0,0.0,0
