epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
27,pooled,1e-05,64,-1,10,simpleff,mnist,0.002199798822402954,45.243072509765625,0.9992495997865528,0.9668,0.0,0.9668,0.0,0.6123,0.0,0.0,0.0,0.0,0
28,pooled,1e-05,64,-1,10,simpleff,mnist,4.00543212890625e-05,44.817996978759766,0.9995330843116329,0.9669,0.0,0.9669,0.0,0.6219,0.0,0.0,0.0,0.0,0
29,pooled,1e-05,64,-1,10,simpleff,mnist,0.0009219348430633545,47.49348449707031,0.9991662219850587,0.9653,0.0,0.9653,0.0,0.5971,0.0,0.0,0.0,0.0,0
30,pooled,1e-05,64,-1,10,simpleff,mnist,0.0008043795824050903,44.881534576416016,0.998849386339381,0.9671,0.0,0.9671,0.0,0.6102,0.0,0.0,0.0,0.0,0
31,pooled,1e-05,64,-1,10,simpleff,mnist,0.0010421276092529297,46.12515640258789,0.9992829509071505,0.9666,0.0,0.9666,0.0,0.6228,0.0,0.0,0.0,0.0,0
32,pooled,1e-05,64,-1,10,simpleff,mnist,0.0019965767860412598,44.928524017333984,0.9994663820704376,0.9684,0.0,0.9684,0.0,0.6044,0.0,0.0,0.0,0.0,0
33,pooled,1e-05,64,-1,10,simpleff,mnist,0.0031117796897888184,47.168521881103516,0.9990661686232657,0.9674,0.0,0.9674,0.0,0.6039,0.0,0.0,0.0,0.0,0
34,pooled,1e-05,64,-1,10,simpleff,mnist,5.751848220825195e-06,46.114253997802734,0.9992996264674493,0.9681,0.0,0.9681,0.0,0.6077,0.0,0.0,0.0,0.0,0
35,pooled,1e-05,64,-1,10,simpleff,mnist,0.0019518733024597168,43.981327056884766,0.9993830042689434,0.9691,0.0,0.9691,0.0,0.6197,0.0,0.0,0.0,0.0,0
36,pooled,1e-05,64,-1,10,simpleff,mnist,6.502866744995117e-05,42.65961456298828,0.9999666488794023,0.9693,0.0,0.9693,0.0,0.6172,0.0,0.0,0.0,0.0,0
37,pooled,1e-05,64,-1,10,simpleff,mnist,1.2755393981933594e-05,42.45432662963867,1.0,0.9699,0.0,0.9699,0.0,0.6222,0.0,0.0,0.0,0.0,0
38,pooled,1e-05,64,-1,10,simpleff,mnist,8.58306884765625e-06,42.32699203491211,1.0,0.97,0.0,0.97,0.0,0.6235,0.0,0.0,0.0,0.0,0
39,pooled,1e-05,64,-1,10,simpleff,mnist,7.063150405883789e-06,42.21862030029297,1.0,0.9704,0.0,0.9704,0.0,0.6241,0.0,0.0,0.0,0.0,0
40,pooled,1e-05,64,-1,10,simpleff,mnist,5.930662155151367e-06,42.12969970703125,1.0,0.9709,0.0,0.9709,0.0,0.6252,0.0,0.0,0.0,0.0,0
41,pooled,1e-05,64,-1,10,simpleff,mnist,5.125999450683594e-06,42.05070495605469,1.0,0.9711,0.0,0.9711,0.0,0.6262,0.0,0.0,0.0,0.0,0
42,pooled,1e-05,64,-1,10,simpleff,mnist,4.6193599700927734e-06,41.97966384887695,1.0,0.9711,0.0,0.9711,0.0,0.6278,0.0,0.0,0.0,0.0,0
43,pooled,1e-05,64,-1,10,simpleff,mnist,4.351139068603516e-06,41.90448760986328,1.0,0.9711,0.0,0.9711,0.0,0.6281,0.0,0.0,0.0,0.0,0
44,pooled,1e-05,64,-1,10,simpleff,mnist,3.844499588012695e-06,41.814979553222656,1.0,0.9713,0.0,0.9713,0.0,0.6296,0.0,0.0,0.0,0.0,0
45,pooled,1e-05,64,-1,10,simpleff,mnist,3.1888484954833984e-06,41.72797393798828,1.0,0.9714,0.0,0.9714,0.0,0.6324,0.0,0.0,0.0,0.0,0
46,pooled,1e-05,64,-1,10,simpleff,mnist,2.5331974029541016e-06,41.65987014770508,1.0,0.9715,0.0,0.9715,0.0,0.6343,0.0,0.0,0.0,0.0,0
47,pooled,1e-05,64,-1,10,simpleff,mnist,1.996755599975586e-06,41.59497833251953,1.0,0.9718,0.0,0.9718,0.0,0.641,0.0,0.0,0.0,0.0,0
48,pooled,1e-05,64,-1,10,simpleff,mnist,1.6093254089355469e-06,41.54813766479492,1.0,0.9718,0.0,0.9718,0.0,0.6535,0.0,0.0,0.0,0.0,0
49,pooled,1e-05,64,-1,10,simpleff,mnist,1.1622905731201172e-06,41.50279998779297,1.0,0.9717,0.0,0.9717,0.0,0.6711,0.0,0.0,0.0,0.0,0
