,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
37,37,edad,1e-05,32,0.0005781352519989014,0.24006810784339905,0.9943212731229597,0.9544,0.010487998835742474,0.24006810784339905,0.9915657733641682,0.9544,0.9544
38,38,edad,1e-05,32,0.00047875940799713135,0.23832577466964722,0.9950693688792165,0.955,0.009104983881115913,0.23832577466964722,0.9921779349748333,0.955,0.955
39,39,edad,1e-05,32,0.00035031139850616455,0.23717492818832397,0.9954094124047879,0.9553,0.008489063940942287,0.23717492818832397,0.9933342402394232,0.9553,0.9553
40,40,edad,1e-05,32,0.0003210306167602539,0.23530541360378265,0.9960554951033732,0.9558,0.007500580511987209,0.23530541360378265,0.9937083390014964,0.9558,0.9558
41,41,edad,1e-05,32,0.0003106743097305298,0.23382551968097687,0.996531556039173,0.9567,0.0068948096595704556,0.23382551968097687,0.9945585634607537,0.9567,0.9567
42,42,edad,1e-05,32,0.0002998858690261841,0.2324727475643158,0.9970076169749728,0.9573,0.006119149271398783,0.2324727475643158,0.9951027071146783,0.9573,0.9573
43,43,edad,1e-05,32,0.000293046236038208,0.23115482926368713,0.9972456474428727,0.9575,0.005520803388208151,0.23115482926368713,0.9957148687253435,0.9575,0.9575
44,44,edad,1e-05,32,0.00030644237995147705,0.2294209897518158,0.9977897170837867,0.9577,0.005240746773779392,0.2294209897518158,0.996361039314379,0.9577,0.9577
45,45,edad,1e-05,32,0.0003360062837600708,0.22830601036548615,0.9981977693144722,0.9581,0.0048751491121947765,0.22830601036548615,0.9967691470548224,0.9581,0.9581
46,46,edad,1e-05,32,0.00035341084003448486,0.22727686166763306,0.9985378128400435,0.9584,0.0045601301826536655,0.22727686166763306,0.9971092368385254,0.9584,0.9584
47,47,edad,1e-05,32,0.00031529366970062256,0.2261093556880951,0.9987758433079434,0.9585,0.004392709117382765,0.2261093556880951,0.9973132907087471,0.9585,0.9585
48,48,edad,1e-05,32,0.0003172457218170166,0.22515758872032166,0.9988778563656148,0.9587,0.0038420644123107195,0.22515758872032166,0.9977554074275609,0.9587,0.9587
49,49,edad,1e-05,32,0.000281602144241333,0.22433938086032867,0.9990818824809575,0.9585,0.0036789518781006336,0.22433938086032867,0.9980274792545232,0.9585,0.9585
