,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,test_acc_avg
0,0,pooled,1e-05,64,1.452244520187378,2.1104352474212646,0.5611333333333334,0.7627,0.7627
1,1,pooled,1e-05,64,0.5785530805587769,1.315940499305725,0.8005333333333333,0.8387,0.8387
2,2,pooled,1e-05,64,0.252389520406723,1.0038866996765137,0.8507,0.8677,0.8677
3,3,pooled,1e-05,64,0.07182097434997559,0.8268201351165771,0.8766666666666667,0.8852,0.8852
4,4,pooled,1e-05,64,0.022622354328632355,0.7085212469100952,0.8916666666666667,0.8972,0.8972
5,5,pooled,1e-05,64,0.01583869755268097,0.6251653432846069,0.9028166666666667,0.9036,0.9036
6,6,pooled,1e-05,64,0.01421000063419342,0.563094973564148,0.91295,0.9106,0.9106
7,7,pooled,1e-05,64,0.015151023864746094,0.515326976776123,0.9204833333333333,0.9162,0.9162
8,8,pooled,1e-05,64,0.016179144382476807,0.47632071375846863,0.9274166666666667,0.9202,0.9202
9,9,pooled,1e-05,64,0.016136378049850464,0.4447783827781677,0.9336833333333333,0.9249,0.9249
10,10,pooled,1e-05,64,0.017107583582401276,0.4180690348148346,0.93855,0.9287,0.9287
11,11,pooled,1e-05,64,0.01823076605796814,0.39592695236206055,0.94325,0.9311,0.9311
12,12,pooled,1e-05,64,0.017823725938796997,0.3762052357196808,0.9475166666666667,0.9333,0.9333
13,13,pooled,1e-05,64,0.017575480043888092,0.35979583859443665,0.9515666666666667,0.9347,0.9347
14,14,pooled,1e-05,64,0.01582157611846924,0.34620118141174316,0.9550666666666666,0.936,0.936
15,15,pooled,1e-05,64,0.014127463102340698,0.333812415599823,0.9581666666666667,0.9393,0.9393
16,16,pooled,1e-05,64,0.011890873312950134,0.32291141152381897,0.9609833333333333,0.9401,0.9401
17,17,pooled,1e-05,64,0.010100498795509338,0.31413158774375916,0.9638666666666666,0.9406,0.9406
18,18,pooled,1e-05,64,0.008529216051101685,0.3059300184249878,0.9661833333333333,0.9418,0.9418
19,19,pooled,1e-05,64,0.007139980792999268,0.2990337014198303,0.96865,0.9438,0.9438
20,20,pooled,1e-05,64,0.005823478102684021,0.29293015599250793,0.9709,0.9446,0.9446
21,21,pooled,1e-05,64,0.0049576908349990845,0.28730982542037964,0.97255,0.9452,0.9452
22,22,pooled,1e-05,64,0.004163876175880432,0.2824053466320038,0.9746666666666667,0.9459,0.9459
23,23,pooled,1e-05,64,0.0035938620567321777,0.27806758880615234,0.97635,0.9465,0.9465
24,24,pooled,1e-05,64,0.0030990689992904663,0.27417096495628357,0.9783,0.9473,0.9473
25,25,pooled,1e-05,64,0.002993345260620117,0.27053260803222656,0.9802833333333333,0.9475,0.9475
26,26,pooled,1e-05,64,0.0027128010988235474,0.26730087399482727,0.9815833333333334,0.948,0.948
27,27,pooled,1e-05,64,0.002693578600883484,0.26363620162010193,0.9830666666666666,0.9486,0.9486
28,28,pooled,1e-05,64,0.0025385767221450806,0.26037654280662537,0.98445,0.9494,0.9494
29,29,pooled,1e-05,64,0.002398371696472168,0.25745150446891785,0.9858833333333333,0.9496,0.9496
30,30,pooled,1e-05,64,0.0024430006742477417,0.25489288568496704,0.9870333333333333,0.9498,0.9498
31,31,pooled,1e-05,64,0.0022175610065460205,0.2521355450153351,0.9880333333333333,0.9511,0.9511
32,32,pooled,1e-05,64,0.0021523237228393555,0.24919499456882477,0.9890166666666667,0.9516,0.9516
33,33,pooled,1e-05,64,0.0021822452545166016,0.24694101512432098,0.9900166666666667,0.9516,0.9516
34,34,pooled,1e-05,64,0.002039611339569092,0.24428552389144897,0.9910833333333333,0.9521,0.9521
35,35,pooled,1e-05,64,0.0019544214010238647,0.24197807908058167,0.9917833333333334,0.9529,0.9529
36,36,pooled,1e-05,64,0.0019212067127227783,0.24025724828243256,0.9925166666666667,0.9533,0.9533
37,37,pooled,1e-05,64,0.0019657760858535767,0.23821179568767548,0.9931166666666666,0.9541,0.9541
38,38,pooled,1e-05,64,0.0020115524530410767,0.23601292073726654,0.9938,0.9547,0.9547
39,39,pooled,1e-05,64,0.0020167678594589233,0.23458918929100037,0.9944,0.9552,0.9552
40,40,pooled,1e-05,64,0.002049550414085388,0.23304782807826996,0.9949333333333333,0.9559,0.9559
41,41,pooled,1e-05,64,0.002103179693222046,0.23166953027248383,0.9955166666666667,0.9555,0.9555
42,42,pooled,1e-05,64,0.0020741671323776245,0.2301526665687561,0.9959833333333333,0.9558,0.9558
43,43,pooled,1e-05,64,0.0021620243787765503,0.22923073172569275,0.99655,0.9559,0.9559
44,44,pooled,1e-05,64,0.002092599868774414,0.22785229980945587,0.9969666666666667,0.9565,0.9565
45,45,pooled,1e-05,64,0.002041146159172058,0.22694990038871765,0.9974166666666666,0.9569,0.9569
46,46,pooled,1e-05,64,0.001966044306755066,0.22611770033836365,0.99775,0.9571,0.9571
47,47,pooled,1e-05,64,0.0018611699342727661,0.22529086470603943,0.9981,0.9581,0.9581
48,48,pooled,1e-05,64,0.0018656253814697266,0.22452062368392944,0.9983333333333333,0.9581,0.9581
49,49,pooled,1e-05,64,0.0017628520727157593,0.22418630123138428,0.9986666666666667,0.9581,0.9581
