,epoch,mode,ls1,ls2,acc1,acc2,tls1,tls2,tacc1,tacc2,tlsa,tacca
0,0,dsgd,0.645583987236023,0.645583987236023,0.8441666666666666,0.8441666666666666,0.4578486680984497,0.4578486680984497,0.8652,0.8652,0.5520938038825989,0.8629
1,1,dsgd,0.5271627902984619,0.5271627902984619,0.8782333333333333,0.8782333333333333,0.41600072383880615,0.41600072383880615,0.8704,0.8704,0.47922173142433167,0.8689
2,2,dsgd,0.4960823357105255,0.4960823357105255,0.8819,0.8819,0.3900771141052246,0.3900771141052246,0.8844,0.8844,0.45798125863075256,0.8855
3,3,dsgd,0.6985957622528076,0.6985957622528076,0.8822333333333333,0.8822333333333333,0.4045937955379486,0.4045937955379486,0.88,0.88,0.4575765132904053,0.8789
4,4,dsgd,0.7017097473144531,0.7017097473144531,0.8872,0.8872,0.38983583450317383,0.38983583450317383,0.8778,0.8778,0.42696502804756165,0.88
5,5,dsgd,0.7064626216888428,0.7064626216888428,0.8879666666666667,0.8879666666666667,0.38155698776245117,0.38155698776245117,0.8849,0.8849,0.42475858330726624,0.8803
6,6,dsgd,0.6565577387809753,0.6565577387809753,0.8906,0.8906,0.34236761927604675,0.34236761927604675,0.8983,0.8983,0.3816404640674591,0.8936
7,7,dsgd,0.48155516386032104,0.48155516386032104,0.8988333333333334,0.8988333333333334,0.36559849977493286,0.36559849977493286,0.8911,0.8911,0.4033501148223877,0.8877
8,8,dsgd,0.24299755692481995,0.24299755692481995,0.8944,0.8944,0.35703885555267334,0.35703885555267334,0.8916,0.8916,0.3836138844490051,0.8925
9,9,dsgd,0.3103373646736145,0.3103373646736145,0.8957666666666667,0.8957666666666667,0.36689090728759766,0.36689090728759766,0.8875,0.8875,0.4060819447040558,0.8882
10,10,dsgd,0.3717327117919922,0.3717327117919922,0.8916333333333334,0.8916333333333334,0.32600095868110657,0.32600095868110657,0.8988,0.8988,0.35391858220100403,0.8976
11,11,dsgd,0.40440160036087036,0.40440160036087036,0.8955333333333333,0.8955333333333333,0.3950132727622986,0.3950132727622986,0.8776,0.8776,0.4105917513370514,0.8766
12,12,dsgd,0.339150995016098,0.339150995016098,0.8959333333333334,0.8959333333333334,0.3324485123157501,0.3324485123157501,0.8964,0.8964,0.35777774453163147,0.9012
13,13,dsgd,0.1805250644683838,0.1805250644683838,0.9060333333333334,0.9060333333333334,0.35666823387145996,0.35666823387145996,0.8915,0.8915,0.37899506092071533,0.8879
14,14,dsgd,0.34449687600135803,0.34449687600135803,0.9012,0.9012,0.3474496603012085,0.3474496603012085,0.8925,0.8925,0.3787761330604553,0.8892
15,15,dsgd,0.6125267744064331,0.6125267744064331,0.9022333333333333,0.9022333333333333,0.3339640498161316,0.3339640498161316,0.8968,0.8968,0.36412540078163147,0.8981
16,16,dsgd,0.4687368869781494,0.4687368869781494,0.9061,0.9061,0.34857699275016785,0.34857699275016785,0.8915,0.8915,0.3711845576763153,0.8891
17,17,dsgd,0.35353395342826843,0.35353395342826843,0.9089,0.9089,0.30341076850891113,0.30341076850891113,0.908,0.908,0.32537633180618286,0.9075
18,18,dsgd,0.39339572191238403,0.39339572191238403,0.9082666666666667,0.9082666666666667,0.31523439288139343,0.31523439288139343,0.9098,0.9098,0.3484609127044678,0.9087
