,epoch,mode,ls1,ls2,acc1,acc2,tls1,tls2,tacc1,tacc2,tlsa,tacca
0,0,noshare,0.551233172416687,0.551233172416687,0.8261666666666667,0.8261666666666667,0.4309227168560028,0.4309227168560028,0.8822,0.8822,0.5244069695472717,0.8788
1,1,noshare,0.4888833165168762,0.4888833165168762,0.8717,0.8717,0.41798192262649536,0.41798192262649536,0.8796,0.8796,0.4859934449195862,0.8803
2,2,noshare,0.5770615339279175,0.5770615339279175,0.8691333333333333,0.8691333333333333,0.391933411359787,0.391933411359787,0.8807,0.8807,0.4556175768375397,0.8762
3,3,noshare,0.5857395529747009,0.5857395529747009,0.8776666666666667,0.8776666666666667,0.40548235177993774,0.40548235177993774,0.8777,0.8777,0.4631032645702362,0.8776
4,4,noshare,0.34047529101371765,0.34047529101371765,0.8849333333333333,0.8849333333333333,0.3772023618221283,0.3772023618221283,0.8847,0.8847,0.42582371830940247,0.887
5,5,noshare,0.5928258895874023,0.5928258895874023,0.8883666666666666,0.8883666666666666,0.3766781687736511,0.3766781687736511,0.8827,0.8827,0.426539808511734,0.8815
6,6,noshare,0.3431520462036133,0.3431520462036133,0.8878666666666667,0.8878666666666667,0.34981024265289307,0.34981024265289307,0.897,0.897,0.40602558851242065,0.8943
7,7,noshare,0.40361663699150085,0.40361663699150085,0.8941,0.8941,0.3415026366710663,0.3415026366710663,0.8983,0.8983,0.3797816038131714,0.897
8,8,noshare,0.47385430335998535,0.47385430335998535,0.8996,0.8996,0.3461832106113434,0.3461832106113434,0.8964,0.8964,0.40407878160476685,0.8902
9,9,noshare,0.4802236258983612,0.4802236258983612,0.8964333333333333,0.8964333333333333,0.3396642208099365,0.3396642208099365,0.8955,0.8955,0.37736526131629944,0.8923
10,10,noshare,0.5461788177490234,0.5461788177490234,0.8952,0.8952,0.3201853334903717,0.3201853334903717,0.9064,0.9064,0.3514382243156433,0.9031
11,11,noshare,0.6917298436164856,0.6917298436164856,0.8945666666666666,0.8945666666666666,0.3617250323295593,0.3617250323295593,0.885,0.885,0.396282434463501,0.8864
12,12,noshare,0.31357064843177795,0.31357064843177795,0.8970666666666667,0.8970666666666667,0.3384743332862854,0.3384743332862854,0.9013,0.9013,0.37158071994781494,0.8965
13,13,noshare,0.3678881525993347,0.3678881525993347,0.9048333333333334,0.9048333333333334,0.31843629479408264,0.31843629479408264,0.9029,0.9029,0.34943410754203796,0.9006
14,14,noshare,0.3497239649295807,0.3497239649295807,0.9052,0.9052,0.3039608299732208,0.3039608299732208,0.9074,0.9074,0.31971678137779236,0.9079
15,15,noshare,0.5842208862304688,0.5842208862304688,0.9043666666666667,0.9043666666666667,0.3274361789226532,0.3274361789226532,0.9002,0.9002,0.35245761275291443,0.8989
16,16,noshare,0.519985556602478,0.519985556602478,0.9073333333333333,0.9073333333333333,0.3021661043167114,0.3021661043167114,0.9093,0.9093,0.329265296459198,0.9067
17,17,noshare,0.22352102398872375,0.22352102398872375,0.9100666666666667,0.9100666666666667,0.287591814994812,0.287591814994812,0.9127,0.9127,0.3137992322444916,0.9107
18,18,noshare,0.5309987664222717,0.5309987664222717,0.9131,0.9131,0.2862224876880646,0.2862224876880646,0.915,0.915,0.30318090319633484,0.911
19,19,noshare,0.3009839653968811,0.3009839653968811,0.9162333333333333,0.9162333333333333,0.2865895926952362,0.2865895926952362,0.9129,0.9129,0.3019571304321289,0.9127
20,20,noshare,0.21880245208740234,0.21880245208740234,0.9149333333333334,0.9149333333333334,0.28871414065361023,0.28871414065361023,0.9128,0.9128,0.3039121925830841,0.9111
21,21,noshare,0.29632577300071716,0.29632577300071716,0.9153666666666667,0.9153666666666667,0.27410441637039185,0.27410441637039185,0.9155,0.9155,0.29801908135414124,0.9152
22,22,noshare,0.6493901014328003,0.6493901014328003,0.9151333333333334,0.9151333333333334,0.29046395421028137,0.29046395421028137,0.9099,0.9099,0.31498825550079346,0.9101
23,23,noshare,0.38990768790245056,0.38990768790245056,0.9119333333333334,0.9119333333333334,0.2863773703575134,0.2863773703575134,0.9123,0.9123,0.31056517362594604,0.9087
24,24,noshare,0.4782107174396515,0.4782107174396515,0.9175333333333333,0.9175333333333333,0.2891465723514557,0.2891465723514557,0.9136,0.9136,0.29553696513175964,0.9138
25,25,noshare,0.5872629284858704,0.5872629284858704,0.9171666666666667,0.9171666666666667,0.2851034104824066,0.2851034104824066,0.9151,0.9151,0.28987178206443787,0.9157
26,26,noshare,0.3780424892902374,0.3780424892902374,0.9147666666666666,0.9147666666666666,0.2789303958415985,0.2789303958415985,0.9157,0.9157,0.29529228806495667,0.9132
27,27,noshare,0.46178722381591797,0.46178722381591797,0.9196666666666666,0.9196666666666666,0.2555638253688812,0.2555638253688812,0.9224,0.9224,0.2699221968650818,0.9214
28,28,noshare,0.5906313061714172,0.5906313061714172,0.9174,0.9174,0.2894028127193451,0.2894028127193451,0.9122,0.9122,0.3049244284629822,0.9107
29,29,noshare,0.3948667645454407,0.3948667645454407,0.9153,0.9153,0.2863790988922119,0.2863790988922119,0.9118,0.9118,0.2978110909461975,0.9133
