,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,train_loss_site_2,test_loss_site_2,train_acc_site_2,test_acc_site_2,test_acc_avg
0,0,noshare,1e-05,32,2.5044703483581543,27.8705997467041,0.7570996275605214,0.3777,1.5715252161026,31.475818634033203,0.7001920726383796,0.2571,1.8320698738098145,31.261709213256836,0.6332635009310987,0.2595,0.2526
1,1,noshare,1e-05,32,1.4733521938323975,29.353803634643555,0.921671322160149,0.3905,0.9855244159698486,34.59390640258789,0.9184564344333858,0.2668,1.2234649658203125,34.60941696166992,0.871566573556797,0.2722,0.2788
2,2,noshare,1e-05,32,0.9203875660896301,30.13906478881836,0.9420391061452514,0.3953,0.6440938115119934,35.90997314453125,0.9445317501891625,0.2703,0.8946059942245483,36.344276428222656,0.9068319366852886,0.2773,0.2859
3,3,noshare,1e-05,32,0.515231728553772,30.674287796020508,0.9526885474860335,0.3978,0.386870414018631,36.53166580200195,0.9561143123217508,0.2723,0.7102266550064087,37.541160583496094,0.9245810055865922,0.28,0.2892
4,4,noshare,1e-05,32,0.2419888973236084,30.907852172851562,0.9599627560521415,0.4,0.19394171237945557,36.94276428222656,0.963389791048251,0.2731,0.590556263923645,38.26566696166992,0.9375,0.2821,0.2961
5,5,noshare,1e-05,32,0.09424149990081787,30.938365936279297,0.9652001862197392,0.4011,0.09486784040927887,37.13214874267578,0.9697922123275712,0.2738,0.5070538520812988,38.79267120361328,0.9465782122905028,0.2841,0.2975
6,6,noshare,1e-05,32,0.06012853980064392,30.881147384643555,0.9714269087523277,0.402,0.05334821343421936,37.208251953125,0.9739828880740353,0.2741,0.44322067499160767,39.05828857421875,0.953328677839851,0.2861,0.2984
7,7,noshare,1e-05,32,0.02329304814338684,30.73759651184082,0.976024208566108,0.403,0.04205342009663582,37.326332092285156,0.9778825446714394,0.2741,0.37786734104156494,39.28020477294922,0.9594390130353817,0.2875,0.2979
8,8,noshare,1e-05,32,0.005687415599822998,30.515350341796875,0.9787593109869647,0.4036,0.041103098541498184,37.50521469116211,0.9812001629707234,0.2746,0.3141115605831146,39.5036735534668,0.9645600558659218,0.2886,0.296
9,9,noshare,1e-05,32,0.0022736787796020508,30.26872444152832,0.9817853817504656,0.4041,0.033420827239751816,37.64759826660156,0.9844013736103836,0.2751,0.24829745292663574,39.71900939941406,0.9680516759776536,0.2893,0.2964
10,10,noshare,1e-05,32,0.0014052987098693848,30.030471801757812,0.9852188081936686,0.4044,0.027369070798158646,37.79905319213867,0.9876025842500437,0.2752,0.2106199562549591,39.794918060302734,0.9723580074487895,0.2894,0.2981
11,11,noshare,1e-05,32,0.001663804054260254,29.88474464416504,0.9872555865921788,0.4046,0.019795384258031845,37.97819519042969,0.9894069029742157,0.2756,0.18891218304634094,39.81526184082031,0.9748603351955307,0.2898,0.2979
12,12,noshare,1e-05,32,0.0026727616786956787,29.68329620361328,0.9895251396648045,0.4047,0.01670488901436329,38.18038558959961,0.9915604446772598,0.2757,0.16935813426971436,39.83290100097656,0.9782937616387337,0.29,0.2981
13,13,noshare,1e-05,32,0.0033020079135894775,29.6009464263916,0.9908635940409684,0.4051,0.017485979944467545,38.46466827392578,0.9934229672312438,0.2757,0.1560353934764862,39.89994812011719,0.9809706703910615,0.2904,0.2988
14,14,noshare,1e-05,32,0.003908902406692505,29.46085548400879,0.9923766294227188,0.4053,0.015873217955231667,38.706748962402344,0.9950526744659799,0.276,0.1438087522983551,40.07603073120117,0.9833566108007449,0.2905,0.2984
