,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
36,36,dsgd,1e-05,32,0.0007660090923309326,0.2416720986366272,0.9938792165397171,0.9539,0.011323928833007812,0.2416720986366272,0.9908855937967623,0.9539,0.9539
37,37,dsgd,1e-05,32,0.0006557255983352661,0.24014008045196533,0.9944232861806311,0.9542,0.010603955946862698,0.24014008045196533,0.991667800299279,0.9542,0.9542
38,38,dsgd,1e-05,32,0.0005306601524353027,0.2385106384754181,0.9950353645266594,0.9548,0.009142586030066013,0.2385106384754181,0.9922459529315739,0.9548,0.9548
39,39,dsgd,1e-05,32,0.00043557584285736084,0.23718693852424622,0.9954774211099021,0.9554,0.007989287376403809,0.23718693852424622,0.9932662222826826,0.9554,0.9554
40,40,dsgd,1e-05,32,0.00041820108890533447,0.23523364961147308,0.9960894994559304,0.9557,0.007223759312182665,0.23523364961147308,0.993776356958237,0.9557,0.9557
41,41,dsgd,1e-05,32,0.00034911930561065674,0.23390214145183563,0.996531556039173,0.9568,0.006763815879821777,0.23390214145183563,0.9944905455040131,0.9568,0.9568
42,42,dsgd,1e-05,32,0.0003120154142379761,0.23227693140506744,0.9969736126224157,0.9569,0.0060200863517820835,0.23227693140506744,0.9952047340497892,0.9569,0.9569
43,43,dsgd,1e-05,32,0.00029271841049194336,0.23101723194122314,0.9973816648531012,0.9573,0.005378552712500095,0.23101723194122314,0.995782886682084,0.9573,0.9573
44,44,dsgd,1e-05,32,0.00032404065132141113,0.2296915501356125,0.9977557127312296,0.9574,0.005519475322216749,0.2296915501356125,0.9963950482927493,0.9574,0.9574
45,45,dsgd,1e-05,32,0.0003214031457901001,0.22846350073814392,0.9982657780195865,0.9581,0.004777193069458008,0.22846350073814392,0.9967351380764522,0.9581,0.9581
46,46,dsgd,1e-05,32,0.00039677321910858154,0.22722548246383667,0.9985378128400435,0.9584,0.004290189128369093,0.22722548246383667,0.9970752278601551,0.9584,0.9584
47,47,dsgd,1e-05,32,0.0003961324691772461,0.22635012865066528,0.9987758433079434,0.9582,0.004263128619641066,0.22635012865066528,0.9973132907087471,0.9582,0.9582
48,48,dsgd,1e-05,32,0.0003891885280609131,0.22558996081352234,0.9988778563656148,0.9584,0.003750767093151808,0.22558996081352234,0.9976873894708203,0.9584,0.9584
49,49,dsgd,1e-05,32,0.0002774149179458618,0.22469758987426758,0.9991158868335147,0.9587,0.0037595885805785656,0.22469758987426758,0.9980614882328935,0.9587,0.9587
