,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,train_loss_site_2,test_loss_site_2,train_acc_site_2,test_acc_site_2,test_acc_avg
0,0,dsgd,1e-05,32,5.950498580932617,2.9704208374023438,0.5283985102420856,0.687,4.096560955047607,2.9704208374023438,0.4458995401897445,0.687,4.019268989562988,2.9704208374023438,0.4065409683426443,0.687,0.687
1,1,dsgd,1e-05,32,3.2188785076141357,1.7730051279067993,0.7807262569832403,0.7967,2.668264389038086,1.7730051279067993,0.748850474361213,0.7967,2.7600367069244385,1.7730051279067993,0.6987895716945997,0.7967,0.7967
2,2,dsgd,1e-05,32,2.110375165939331,1.3370953798294067,0.8375814711359404,0.8375,2.242520570755005,1.3370953798294067,0.820499388859787,0.8375,2.232954502105713,1.3370953798294067,0.7749650837988827,0.8375,0.8375
3,3,dsgd,1e-05,32,1.5717121362686157,1.099961757659912,0.8652816573556797,0.8604,2.0006375312805176,1.099961757659912,0.855072463768116,0.8604,1.9617254734039307,1.099961757659912,0.8116852886405959,0.8604,0.8604
4,4,dsgd,1e-05,32,1.2311995029449463,0.9463182687759399,0.8829725325884544,0.8747,1.797813057899475,0.9463182687759399,0.8794016646295326,0.8747,1.7420213222503662,0.9463182687759399,0.8332751396648045,0.8747,0.8747
5,5,dsgd,1e-05,32,1.0347622632980347,0.8352728486061096,0.8961243016759777,0.8851,1.6726514101028442,0.8352728486061096,0.892963156975729,0.8851,1.5532972812652588,0.8352728486061096,0.8511405959031657,0.8851,0.8851
6,6,dsgd,1e-05,32,0.8796467781066895,0.7513643503189087,0.9028747672253259,0.8917,1.5807571411132812,0.7513643503189087,0.9035562540015133,0.8917,1.3788830041885376,0.7513643503189087,0.8633030726256983,0.8917,0.8917
7,7,dsgd,1e-05,32,0.7620176672935486,0.6860650777816772,0.9089851024208566,0.8976,1.5118190050125122,0.6860650777816772,0.9114137710261335,0.8976,1.2394075393676758,0.6860650777816772,0.8740107076350093,0.8976,0.8976
8,8,dsgd,1e-05,32,0.651064932346344,0.6330313682556152,0.9153282122905028,0.9021,1.4719552993774414,0.6330313682556152,0.9179908037948897,0.9021,1.1069990396499634,0.6330313682556152,0.8827979515828678,0.9021,0.9021
9,9,dsgd,1e-05,32,0.5525314211845398,0.5895797610282898,0.9205074487895717,0.9065,1.4413955211639404,0.5895797610282898,0.9243932250742098,0.9065,0.9909542798995972,0.5895797610282898,0.8910614525139665,0.9065,0.9065
